NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
28.2,18.0,11.0,8.0,2.85,0.95,0.4,0.5,46.65,12.0,86.0,22.0,36.0,517.0,08-26 20:38:22,0
28.2,20.0,12.0,8.0,2.53,0.96,0.43,0.38,46.78,13.0,84.0,23.0,35.0,511.0,08-26 20:38:23,0
28.12,21.0,13.0,8.0,2.38,1.39,0.34,0.47,46.87,13.0,84.0,22.0,36.0,519.0,08-26 20:38:24,0
28.1,21.0,12.0,9.0,2.85,0.9,0.5,0.43,47.02,13.0,84.0,23.0,35.0,527.0,08-26 20:38:25,0
28.1,20.0,12.0,8.0,2.11,1.37,0.4,0.42,47.13,14.0,84.0,22.0,36.0,516.0,08-26 20:38:26,0
28.1,19.0,12.0,8.0,2.79,0.99,0.43,0.46,47.26,12.0,85.0,22.0,35.0,511.0,08-26 20:38:27,0
28.1,20.0,12.0,8.0,2.22,1.12,0.47,0.4,47.34,12.0,85.0,22.0,36.0,521.0,08-26 20:38:28,0
28.1,20.0,12.0,8.0,2.57,1.23,0.39,0.49,47.38,12.0,84.0,23.0,35.0,528.0,08-26 20:38:29,0
28.1,20.0,12.0,8.0,2.98,0.79,0.48,0.43,47.36,13.0,85.0,22.0,36.0,525.0,08-26 20:38:30,0
28.1,20.0,12.0,9.0,2.31,1.1,0.47,0.4,47.42,13.0,85.0,23.0,36.0,528.0,08-26 20:38:31,0
28.07,20.0,11.0,8.0,2.42,1.3,0.37,0.47,47.47,13.0,85.0,23.0,35.0,527.0,08-26 20:38:32,0
28.0,21.0,12.0,9.0,2.64,0.93,0.49,0.4,47.49,13.0,85.0,23.0,35.0,522.0,08-26 20:38:33,0
28.0,20.0,11.0,6.0,2.16,1.38,0.36,0.44,47.47,13.0,85.0,23.0,36.0,522.0,08-26 20:38:34,0
28.0,20.0,13.0,7.0,2.81,0.96,0.46,0.44,47.43,14.0,84.0,23.0,36.0,530.0,08-26 20:38:35,0
28.09,20.0,12.0,8.0,2.18,1.2,0.43,0.4,47.44,14.0,84.0,23.0,36.0,518.0,08-26 20:38:36,0
28.08,20.0,13.0,8.0,2.54,1.14,0.37,0.47,47.52,14.0,84.0,23.0,36.0,530.0,08-26 20:38:37,0
28.0,20.0,12.0,7.0,2.5,0.98,0.5,0.4,47.56,14.0,84.0,23.0,36.0,528.0,08-26 20:38:38,0
28.0,20.0,12.0,7.0,2.23,1.38,0.34,0.46,47.54,14.0,84.0,23.0,36.0,528.0,08-26 20:38:39,0
28.0,20.0,12.0,8.0,2.92,0.94,0.47,0.44,47.5,14.0,84.0,22.0,36.0,521.0,08-26 20:38:40,0
27.91,21.0,12.0,7.0,2.2,1.33,0.44,0.41,47.52,14.0,83.0,23.0,36.0,519.0,08-26 20:38:41,0
27.92,20.0,11.0,7.0,2.69,1.12,0.43,0.47,47.56,14.0,84.0,23.0,36.0,514.0,08-26 20:38:42,0
28.0,20.0,12.0,6.0,2.34,1.0,0.48,0.4,47.62,12.0,85.0,22.0,36.0,519.0,08-26 20:38:43,0
27.96,20.0,11.0,8.0,2.4,1.29,0.38,0.46,47.64,12.0,85.0,23.0,36.0,520.0,08-26 20:38:44,0
27.9,20.0,12.0,7.0,2.62,0.91,0.49,0.4,47.69,12.0,85.0,22.0,36.0,516.0,08-26 20:38:45,0
27.9,20.0,12.0,8.0,2.17,1.36,0.38,0.43,47.79,14.0,84.0,23.0,36.0,523.0,08-26 20:38:46,0
27.9,20.0,13.0,8.0,2.88,0.98,0.45,0.45,47.86,14.0,84.0,22.0,36.0,529.0,08-26 20:38:47,0
