NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.9,21.0,11.0,10.0,2.69,1.29,0.6,0.5,43.4,8.0,6.0,22.0,35.0,515.0,08-29 06:05:16,0
27.9,20.0,12.0,8.0,2.53,1.29,0.6,0.48,43.37,8.0,6.0,22.0,35.0,518.0,08-29 06:05:17,0
27.86,20.0,12.0,9.0,2.61,1.01,0.43,0.42,43.37,8.0,6.0,23.0,35.0,513.0,08-29 06:05:18,0
27.8,20.0,13.0,8.0,2.21,1.02,0.52,0.37,43.32,0.0,119.0,22.0,36.0,517.0,08-29 06:05:19,0
27.8,20.0,12.0,8.0,2.37,1.23,0.4,0.48,43.78,0.0,119.0,22.0,35.0,526.0,08-29 06:05:20,0
27.8,21.0,12.0,7.0,2.68,0.81,0.54,0.4,43.57,0.0,119.0,23.0,36.0,516.0,08-29 06:05:21,0
27.7,20.0,12.0,8.0,2.04,1.3,0.42,0.41,43.53,0.0,119.0,22.0,36.0,523.0,08-29 06:05:22,0
27.7,20.0,12.0,8.0,2.74,0.92,0.49,0.44,43.42,0.0,119.0,22.0,36.0,524.0,08-29 06:05:23,0
27.7,20.0,12.0,9.0,2.07,1.11,0.47,0.4,43.27,0.0,119.0,23.0,35.0,513.0,08-29 06:05:24,0
27.7,19.0,13.0,8.0,2.54,1.12,0.43,0.48,43.1,0.0,119.0,22.0,36.0,517.0,08-29 06:05:25,0
27.7,20.0,12.0,9.0,2.43,1.02,0.53,0.34,43.14,0.0,119.0,22.0,36.0,520.0,08-29 06:05:26,0
27.7,20.0,12.0,9.0,2.11,1.3,0.4,0.43,43.17,0.0,119.0,23.0,36.0,515.0,08-29 06:05:27,0
27.72,20.0,12.0,8.0,2.63,0.77,0.48,0.39,43.18,0.0,119.0,22.0,35.0,514.0,08-29 06:05:28,0
