NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,22.0,11.0,10.0,1.8,0.7,0.45,0.3,44.48,128.0,49.0,23.0,35.0,524.0,08-26 20:06:07,0
27.0,20.0,12.0,7.0,2.82,1.0,0.62,0.4,44.55,125.0,48.0,22.0,36.0,525.0,08-26 20:06:08,0
27.0,20.0,12.0,8.0,2.08,1.37,0.65,0.43,44.52,125.0,48.0,22.0,35.0,522.0,08-26 20:06:09,0
27.06,20.0,13.0,8.0,2.12,1.58,0.58,0.49,44.48,128.0,39.0,23.0,36.0,520.0,08-26 20:06:10,0
27.1,20.0,13.0,9.0,2.83,1.22,0.58,0.5,44.46,128.0,39.0,23.0,35.0,523.0,08-26 20:06:11,0
27.1,20.0,12.0,8.0,2.48,1.19,0.7,0.41,44.42,129.0,48.0,22.0,36.0,521.0,08-26 20:06:12,0
27.11,19.0,13.0,8.0,2.2,1.57,0.55,0.49,44.41,125.0,40.0,23.0,36.0,515.0,08-26 20:06:13,0
27.2,19.0,12.0,8.0,2.94,1.13,0.62,0.49,44.36,132.0,36.0,23.0,35.0,511.0,08-26 20:06:14,0
27.2,20.0,12.0,8.0,2.33,1.24,0.67,0.41,44.4,125.0,40.0,23.0,36.0,521.0,08-26 20:06:15,0
27.2,20.0,12.0,9.0,2.36,1.57,0.55,0.5,44.36,125.0,40.0,22.0,36.0,516.0,08-26 20:06:16,0
27.2,21.0,12.0,8.0,2.86,1.01,0.66,0.46,44.35,130.0,74.0,22.0,36.0,528.0,08-26 20:06:17,0
27.2,20.0,11.0,8.0,2.21,1.37,0.64,0.43,44.4,130.0,74.0,22.0,35.0,525.0,08-26 20:06:18,0
27.3,21.0,12.0,8.0,2.42,1.53,0.56,0.53,44.41,130.0,74.0,22.0,35.0,528.0,08-26 20:06:19,0
27.33,20.0,12.0,8.0,2.77,1.07,0.67,0.44,44.44,130.0,79.0,22.0,36.0,521.0,08-26 20:06:20,0
27.4,20.0,12.0,8.0,2.04,1.51,0.6,0.45,44.43,130.0,74.0,23.0,35.0,529.0,08-26 20:06:21,0
27.4,19.0,12.0,8.0,2.57,1.44,0.57,0.5,44.48,130.0,74.0,22.0,35.0,525.0,08-26 20:06:22,0
27.4,20.0,12.0,8.0,2.73,1.06,0.65,0.43,44.48,130.0,74.0,23.0,36.0,530.0,08-26 20:06:23,0
27.4,20.0,12.0,8.0,2.25,1.55,0.57,0.48,44.46,130.0,74.0,22.0,35.0,521.0,08-26 20:06:24,0
27.42,20.0,11.0,8.0,2.71,1.21,0.6,0.5,44.38,130.0,74.0,22.0,36.0,529.0,08-26 20:06:25,0
27.5,20.0,12.0,8.0,2.48,1.14,0.65,0.4,44.33,129.0,79.0,22.0,35.0,528.0,08-26 20:06:26,0
27.56,20.0,12.0,7.0,2.2,1.59,0.56,0.48,44.32,129.0,79.0,22.0,35.0,516.0,08-26 20:06:27,0
27.6,21.0,12.0,7.0,2.86,1.09,0.62,0.49,44.34,129.0,79.0,22.0,36.0,519.0,08-26 20:06:28,0
27.6,20.0,12.0,8.0,2.21,1.31,0.63,0.42,44.35,130.0,74.0,23.0,36.0,528.0,08-26 20:06:29,0
27.64,21.0,12.0,8.0,2.36,1.54,0.55,0.52,44.34,130.0,74.0,23.0,35.0,530.0,08-26 20:06:30,0
27.8,20.0,12.0,8.0,2.92,1.04,0.61,0.46,44.31,130.0,74.0,23.0,36.0,524.0,08-26 20:06:31,0
27.76,19.0,12.0,8.0,2.13,1.4,0.64,0.44,44.26,130.0,74.0,22.0,36.0,516.0,08-26 20:06:32,0
27.7,20.0,12.0,6.0,2.51,1.48,0.55,0.5,44.29,130.0,76.0,23.0,35.0,523.0,08-26 20:06:33,0
27.78,20.0,12.0,8.0,2.83,1.07,0.69,0.44,44.34,122.0,73.0,22.0,35.0,529.0,08-26 20:06:34,0
27.8,20.0,12.0,8.0,2.12,1.44,0.59,0.46,44.3,122.0,74.0,22.0,36.0,521.0,08-26 20:06:35,0
