NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
28.0,19.0,11.0,8.0,2.5,1.0,0.4,0.4,44.3,105.0,56.0,23.0,35.0,517.0,08-27 07:08:59,0
27.99,20.0,12.0,7.0,2.6,0.87,0.44,0.36,44.32,109.0,56.0,22.0,35.0,521.0,08-27 07:09:00,0
27.9,20.0,12.0,8.0,2.03,1.23,0.38,0.38,44.31,122.0,62.0,23.0,35.0,522.0,08-27 07:09:01,0
27.9,20.0,12.0,9.0,2.64,0.89,0.4,0.39,44.42,122.0,54.0,22.0,36.0,517.0,08-27 07:09:02,0
27.9,20.0,12.0,8.0,2.09,1.07,0.44,0.34,44.39,109.0,56.0,23.0,36.0,519.0,08-27 07:09:03,0
27.9,21.0,13.0,7.0,2.41,1.13,0.36,0.4,44.34,120.0,62.0,22.0,35.0,529.0,08-27 07:09:04,0
27.9,21.0,12.0,8.0,2.41,0.96,0.49,0.34,44.27,106.0,60.0,22.0,36.0,516.0,08-27 07:09:05,0
27.9,20.0,13.0,8.0,2.14,1.31,0.32,0.4,44.27,85.0,59.0,22.0,36.0,529.0,08-27 07:09:06,0
27.88,20.0,11.0,7.0,2.69,0.89,0.43,0.38,44.31,85.0,59.0,22.0,36.0,520.0,08-27 07:09:07,0
27.8,20.0,12.0,8.0,2.08,1.12,0.4,0.37,44.36,120.0,62.0,23.0,36.0,511.0,08-27 07:09:08,0
27.8,20.0,12.0,8.0,2.56,1.07,0.4,0.4,44.46,85.0,59.0,22.0,35.0,520.0,08-27 07:09:09,0
27.8,20.0,12.0,9.0,2.29,0.94,0.48,0.31,44.43,85.0,59.0,22.0,36.0,513.0,08-27 07:09:10,0
27.71,19.0,12.0,8.0,2.24,1.26,0.33,0.39,44.35,120.0,62.0,22.0,36.0,517.0,08-27 07:09:11,0
27.7,20.0,12.0,9.0,2.48,0.81,0.46,0.36,44.24,120.0,58.0,23.0,36.0,528.0,08-27 07:09:12,0
27.7,20.0,12.0,6.0,2.08,1.28,0.37,0.37,44.17,123.0,54.0,23.0,35.0,527.0,08-27 07:09:13,0
27.76,20.0,12.0,8.0,2.6,0.92,0.4,0.38,44.12,123.0,54.0,22.0,35.0,514.0,08-27 07:09:14,0
27.8,19.0,11.0,8.0,2.1,1.09,0.45,0.32,44.16,85.0,59.0,22.0,35.0,516.0,08-27 07:09:15,0
27.72,20.0,12.0,8.0,2.33,1.13,0.36,0.4,44.06,85.0,59.0,23.0,35.0,519.0,08-27 07:09:16,0
27.71,20.0,12.0,8.0,2.47,0.9,0.47,0.32,44.15,85.0,59.0,23.0,36.0,517.0,08-27 07:09:17,0
27.8,21.0,12.0,8.0,2.09,1.33,0.33,0.4,44.19,85.0,59.0,23.0,35.0,523.0,08-27 07:09:18,0
27.72,20.0,12.0,10.0,2.65,0.88,0.4,0.38,44.17,85.0,59.0,22.0,36.0,529.0,08-27 07:09:19,0
27.6,19.0,12.0,9.0,2.03,1.16,0.42,0.36,44.12,123.0,58.0,23.0,35.0,516.0,08-27 07:09:20,0
27.68,20.0,12.0,7.0,2.51,1.06,0.37,0.4,44.09,124.0,58.0,22.0,36.0,525.0,08-27 07:09:21,0
27.69,20.0,12.0,6.0,2.34,0.99,0.48,0.34,44.06,124.0,58.0,22.0,36.0,527.0,08-27 07:09:22,0
27.6,21.0,13.0,8.0,2.22,1.29,0.32,0.4,44.05,124.0,58.0,22.0,36.0,524.0,08-27 07:09:23,0
27.6,20.0,12.0,8.0,2.71,0.85,0.45,0.36,44.03,124.0,58.0,23.0,36.0,512.0,08-27 07:09:24,0
27.6,20.0,12.0,7.0,2.3,1.18,0.38,0.38,44.11,85.0,59.0,23.0,35.0,529.0,08-27 07:09:25,0
27.6,20.0,13.0,9.0,2.54,0.83,0.43,0.37,44.16,85.0,59.0,23.0,36.0,520.0,08-27 07:09:26,0
27.6,19.0,12.0,8.0,2.08,1.17,0.38,0.38,44.1,85.0,59.0,22.0,35.0,515.0,08-27 07:09:27,0
27.6,20.0,12.0,7.0,2.44,1.05,0.36,0.4,44.07,85.0,59.0,22.0,35.0,512.0,08-27 07:09:28,0
27.6,21.0,12.0,8.0,2.33,0.93,0.48,0.31,44.28,85.0,59.0,23.0,35.0,514.0,08-27 07:09:29,0
27.6,20.0,12.0,9.0,2.19,1.23,0.36,0.4,44.26,85.0,59.0,23.0,35.0,522.0,08-27 07:09:30,0
27.54,19.0,12.0,7.0,2.62,0.84,0.47,0.34,44.19,85.0,59.0,22.0,36.0,530.0,08-27 07:09:31,0
27.5,20.0,12.0,7.0,2.04,1.26,0.38,0.36,44.24,85.0,59.0,22.0,36.0,530.0,08-27 07:09:32,0
27.5,19.0,12.0,7.0,2.53,1.0,0.38,0.4,44.13,85.0,59.0,22.0,35.0,524.0,08-27 07:09:33,0
