NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.2,21.0,13.0,7.0,2.25,0.83,0.67,0.45,43.78,114.0,0.0,23.0,36.0,512.0,09-20 03:19:24,0
27.2,20.0,12.0,9.0,2.06,0.86,0.61,0.51,43.69,120.0,1.0,22.0,35.0,514.0,09-20 03:19:25,0
27.2,19.0,11.0,8.0,2.28,0.79,0.63,0.46,43.68,120.0,1.0,23.0,36.0,512.0,09-20 03:19:26,0
27.2,20.0,12.0,7.0,1.92,0.99,0.61,0.49,43.66,114.0,0.0,22.0,35.0,525.0,09-20 03:19:27,0
27.2,20.0,12.0,8.0,2.18,0.88,0.55,0.54,43.65,114.0,0.0,22.0,36.0,515.0,09-20 03:19:28,0
27.2,19.0,12.0,8.0,2.21,0.85,0.69,0.45,43.56,114.0,0.0,23.0,36.0,520.0,09-20 03:19:29,0
27.2,21.0,12.0,8.0,1.94,1.04,0.57,0.51,43.53,114.0,0.0,23.0,35.0,526.0,09-20 03:19:30,0
27.2,19.0,13.0,8.0,2.29,0.86,0.59,0.53,43.54,114.0,0.0,22.0,36.0,514.0,09-20 03:19:31,0
27.2,20.0,12.0,9.0,2.02,0.87,0.68,0.45,43.54,118.0,0.0,23.0,36.0,516.0,09-20 03:19:32,0
27.2,20.0,12.0,8.0,2.03,1.04,0.53,0.53,43.61,118.0,0.0,23.0,35.0,516.0,09-20 03:19:33,0
27.2,20.0,11.0,8.0,2.35,0.79,0.64,0.52,43.56,77.0,82.0,22.0,36.0,524.0,09-20 03:19:34,0
27.2,20.0,12.0,7.0,2.07,0.84,0.71,0.45,43.6,114.0,0.0,23.0,35.0,513.0,09-20 03:19:35,0
27.2,21.0,12.0,8.0,2.1,1.01,0.55,0.51,43.55,77.0,82.0,22.0,35.0,513.0,09-20 03:19:36,0
27.2,20.0,11.0,8.0,2.31,0.77,0.67,0.49,43.55,77.0,82.0,22.0,36.0,529.0,09-20 03:19:37,0
27.2,20.0,11.0,7.0,1.96,0.89,0.68,0.45,43.54,77.0,82.0,22.0,36.0,526.0,09-20 03:19:38,0
27.2,20.0,11.0,9.0,2.04,0.97,0.56,0.54,43.52,77.0,82.0,22.0,35.0,528.0,09-20 03:19:39,0
27.2,20.0,12.0,8.0,2.29,0.76,0.65,0.49,43.5,77.0,82.0,22.0,36.0,527.0,09-20 03:19:40,0
27.2,21.0,13.0,8.0,1.94,0.96,0.64,0.48,43.48,77.0,82.0,23.0,36.0,518.0,09-20 03:19:41,0
27.2,20.0,13.0,8.0,2.1,1.08,0.55,0.55,43.48,77.0,82.0,23.0,36.0,519.0,09-20 03:19:42,0
27.2,20.0,12.0,7.0,2.23,0.81,0.68,0.47,43.44,77.0,82.0,23.0,36.0,524.0,09-20 03:19:43,0
27.2,19.0,12.0,8.0,1.97,0.98,0.57,0.51,43.4,77.0,82.0,23.0,36.0,521.0,09-20 03:19:44,0
27.2,20.0,11.0,8.0,2.29,0.91,0.58,0.55,43.48,114.0,0.0,22.0,36.0,523.0,09-20 03:19:45,0
27.2,21.0,12.0,9.0,2.17,0.8,0.71,0.45,43.48,77.0,82.0,23.0,35.0,514.0,09-20 03:19:46,0
27.2,20.0,12.0,7.0,2.04,1.02,0.53,0.53,43.56,77.0,82.0,23.0,35.0,515.0,09-20 03:19:47,0
