NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.05,20.0,14.0,9.0,2.05,1.6,0.3,0.5,47.13,10.0,81.0,23.0,36.0,526.0,08-27 05:56:27,0
27.1,20.0,13.0,8.0,2.6,1.14,0.4,0.45,47.1,10.0,81.0,23.0,36.0,515.0,08-27 05:56:28,0
27.07,19.0,12.0,9.0,2.19,1.24,0.47,0.39,47.07,10.0,81.0,22.0,35.0,520.0,08-27 05:56:29,0
27.0,20.0,12.0,8.0,2.38,1.38,0.38,0.49,47.09,10.0,81.0,23.0,36.0,511.0,08-27 05:56:30,0
27.0,19.0,12.0,8.0,2.49,1.08,0.49,0.4,47.09,11.0,80.0,22.0,35.0,515.0,08-27 05:56:31,0
27.0,20.0,12.0,8.0,2.12,1.59,0.41,0.46,47.08,13.0,81.0,22.0,36.0,530.0,08-27 05:56:32,0
27.0,20.0,12.0,7.0,2.79,1.07,0.49,0.46,47.06,13.0,81.0,23.0,35.0,530.0,08-27 05:56:33,0
27.03,21.0,12.0,8.0,2.08,1.34,0.46,0.41,47.02,13.0,81.0,22.0,36.0,515.0,08-27 05:56:34,0
27.1,20.0,12.0,8.0,2.58,1.23,0.43,0.49,47.01,10.0,82.0,22.0,36.0,515.0,08-27 05:56:35,0
27.1,20.0,12.0,8.0,2.39,1.14,0.5,0.4,47.05,9.0,80.0,22.0,36.0,523.0,08-27 05:56:36,0
27.1,20.0,12.0,7.0,2.22,1.35,0.4,0.45,47.01,10.0,82.0,22.0,35.0,526.0,08-27 05:56:37,0
27.0,20.0,11.0,7.0,2.61,1.01,0.48,0.41,47.0,10.0,82.0,22.0,36.0,524.0,08-27 05:56:38,0
27.0,20.0,11.0,8.0,2.07,1.47,0.37,0.43,47.01,10.0,82.0,22.0,36.0,530.0,08-27 05:56:39,0
