NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,20.0,11.0,7.0,2.58,0.81,0.49,0.32,45.14,11.0,4.0,22.0,35.0,521.0,08-30 02:23:24,0
27.02,19.0,12.0,7.0,2.49,0.97,0.43,0.38,45.04,11.0,4.0,22.0,36.0,514.0,08-30 02:23:25,0
27.1,20.0,13.0,9.0,2.17,1.01,0.48,0.3,45.07,11.0,4.0,22.0,35.0,524.0,08-30 02:23:26,0
27.1,20.0,12.0,7.0,2.19,1.35,0.34,0.4,45.06,11.0,4.0,23.0,36.0,523.0,08-30 02:23:27,0
27.1,20.0,11.0,8.0,2.62,0.86,0.47,0.34,45.09,11.0,4.0,22.0,35.0,524.0,08-30 02:23:28,0
27.02,19.0,12.0,9.0,2.03,1.24,0.38,0.34,45.09,11.0,4.0,23.0,36.0,517.0,08-30 02:23:29,0
27.0,20.0,12.0,8.0,2.61,0.89,0.44,0.38,45.11,11.0,4.0,23.0,36.0,514.0,08-30 02:23:30,0
27.0,20.0,12.0,8.0,2.06,1.1,0.47,0.31,45.1,11.0,4.0,23.0,35.0,522.0,08-30 02:23:31,0
27.04,20.0,12.0,8.0,2.33,1.23,0.36,0.4,45.18,11.0,4.0,22.0,36.0,516.0,08-30 02:23:32,0
27.1,20.0,12.0,8.0,2.46,0.88,0.49,0.32,45.16,11.0,4.0,22.0,35.0,515.0,08-30 02:23:33,0
27.1,21.0,13.0,9.0,2.07,1.26,0.36,0.37,45.14,11.0,4.0,22.0,35.0,518.0,08-30 02:23:34,0
27.1,20.0,12.0,8.0,2.72,0.86,0.47,0.36,45.17,11.0,4.0,22.0,36.0,526.0,08-30 02:23:35,0
27.0,20.0,12.0,8.0,1.95,1.15,0.45,0.31,45.15,11.0,4.0,22.0,35.0,517.0,08-30 02:23:36,0
27.0,20.0,12.0,8.0,2.41,1.12,0.4,0.4,45.11,11.0,4.0,23.0,35.0,527.0,08-30 02:23:37,0
27.0,21.0,13.0,9.0,2.41,0.91,0.48,0.3,45.13,11.0,4.0,23.0,35.0,516.0,08-30 02:23:38,0
27.0,20.0,13.0,7.0,2.16,1.33,0.4,0.39,45.15,11.0,4.0,23.0,36.0,527.0,08-30 02:23:39,0
27.0,19.0,12.0,8.0,2.76,0.84,0.46,0.35,45.19,11.0,4.0,23.0,36.0,516.0,08-30 02:23:40,0
27.0,21.0,12.0,8.0,2.01,1.19,0.42,0.33,45.19,11.0,4.0,23.0,36.0,511.0,08-30 02:23:41,0
27.0,20.0,12.0,9.0,2.59,1.06,0.42,0.4,45.13,11.0,4.0,23.0,36.0,527.0,08-30 02:23:42,0
27.0,20.0,12.0,9.0,2.26,0.97,0.47,0.31,45.06,11.0,4.0,22.0,36.0,517.0,08-30 02:23:43,0
27.0,21.0,12.0,9.0,2.28,1.26,0.4,0.4,45.01,11.0,4.0,22.0,36.0,524.0,08-30 02:23:44,0
27.0,21.0,12.0,8.0,2.59,0.8,0.49,0.32,45.07,11.0,4.0,23.0,36.0,517.0,08-30 02:23:45,0
27.09,20.0,12.0,8.0,2.03,1.28,0.41,0.34,45.07,11.0,4.0,22.0,36.0,527.0,08-30 02:23:46,0
27.1,20.0,11.0,8.0,2.6,0.91,0.43,0.37,45.0,11.0,4.0,23.0,35.0,524.0,08-30 02:23:47,0
27.1,20.0,13.0,7.0,2.04,1.11,0.44,0.32,44.94,11.0,4.0,23.0,36.0,511.0,08-30 02:23:48,0
27.05,20.0,12.0,8.0,2.34,1.2,0.35,0.4,45.07,11.0,4.0,23.0,35.0,518.0,08-30 02:23:49,0
27.0,21.0,12.0,9.0,2.5,0.9,0.49,0.32,45.03,11.0,4.0,23.0,36.0,527.0,08-30 02:23:50,0
27.08,20.0,12.0,8.0,2.04,1.28,0.36,0.37,45.01,11.0,4.0,22.0,36.0,519.0,08-30 02:23:51,0
27.09,19.0,12.0,7.0,2.66,0.83,0.44,0.36,45.03,11.0,4.0,23.0,35.0,515.0,08-30 02:23:52,0
27.0,19.0,12.0,6.0,2.03,1.1,0.44,0.3,45.0,11.0,4.0,22.0,35.0,521.0,08-30 02:23:53,0
27.1,20.0,12.0,9.0,2.7,0.75,0.5,0.3,44.96,11.0,4.0,23.0,35.0,527.0,08-30 02:23:54,0
27.1,20.0,12.0,8.0,2.19,1.04,0.48,0.31,44.93,11.0,4.0,23.0,36.0,521.0,08-30 02:23:55,0
27.1,20.0,11.0,8.0,2.28,1.2,0.38,0.4,44.96,84.0,65.0,23.0,36.0,516.0,08-30 02:23:56,0
27.1,19.0,13.0,9.0,2.49,0.88,0.48,0.32,44.99,11.0,4.0,23.0,36.0,527.0,08-30 02:23:57,0
27.0,21.0,13.0,9.0,2.08,1.32,0.38,0.38,45.09,11.0,4.0,22.0,35.0,525.0,08-30 02:23:58,0
27.02,20.0,12.0,7.0,2.65,0.85,0.45,0.36,45.05,11.0,4.0,22.0,36.0,511.0,08-30 02:23:59,0
27.1,20.0,12.0,8.0,2.03,1.08,0.42,0.32,44.96,11.0,4.0,23.0,36.0,529.0,08-30 02:24:00,0
27.1,21.0,12.0,8.0,2.51,1.08,0.4,0.4,44.97,11.0,4.0,22.0,36.0,527.0,08-30 02:24:01,0
27.1,20.0,12.0,8.0,2.29,0.9,0.49,0.3,45.0,11.0,4.0,22.0,36.0,523.0,08-30 02:24:02,0
27.0,20.0,12.0,8.0,2.09,1.31,0.34,0.38,45.07,11.0,4.0,22.0,35.0,530.0,08-30 02:24:03,0
27.0,20.0,12.0,9.0,2.6,0.82,0.47,0.36,45.12,11.0,4.0,23.0,36.0,528.0,08-30 02:24:04,0
27.0,20.0,11.0,9.0,1.99,1.26,0.44,0.34,45.11,11.0,4.0,22.0,35.0,521.0,08-30 02:24:05,0
27.0,21.0,12.0,8.0,2.6,0.98,0.42,0.39,45.12,11.0,4.0,22.0,35.0,517.0,08-30 02:24:06,0
27.0,20.0,12.0,8.0,2.19,1.01,0.49,0.3,45.08,11.0,4.0,22.0,36.0,513.0,08-30 02:24:07,0
27.09,20.0,12.0,8.0,2.24,1.31,0.36,0.4,45.07,11.0,4.0,22.0,36.0,514.0,08-30 02:24:08,0
27.1,20.0,12.0,9.0,2.61,0.84,0.48,0.33,45.07,11.0,4.0,22.0,36.0,530.0,08-30 02:24:09,0
27.1,20.0,11.0,8.0,2.02,1.24,0.37,0.36,45.04,11.0,4.0,22.0,35.0,522.0,08-30 02:24:10,0
27.04,20.0,12.0,8.0,2.63,0.9,0.44,0.38,45.02,11.0,4.0,23.0,35.0,524.0,08-30 02:24:11,0
27.0,20.0,12.0,9.0,2.05,1.08,0.45,0.3,44.93,11.0,4.0,23.0,35.0,525.0,08-30 02:24:12,0
27.08,21.0,11.0,8.0,2.27,1.16,0.36,0.4,44.98,11.0,4.0,23.0,35.0,528.0,08-30 02:24:13,0
27.1,20.0,12.0,8.0,2.43,0.88,0.5,0.31,44.93,11.0,4.0,22.0,36.0,519.0,08-30 02:24:14,0
27.1,20.0,13.0,9.0,2.07,1.32,0.36,0.38,44.91,11.0,4.0,22.0,36.0,512.0,08-30 02:24:15,0
27.06,20.0,13.0,8.0,2.71,0.82,0.45,0.35,44.93,11.0,4.0,23.0,35.0,520.0,08-30 02:24:16,0
27.0,21.0,11.0,8.0,1.97,1.11,0.4,0.32,45.02,11.0,4.0,23.0,36.0,521.0,08-30 02:24:17,0
27.0,21.0,11.0,8.0,2.53,1.08,0.4,0.4,45.0,11.0,4.0,22.0,36.0,515.0,08-30 02:24:18,0
27.0,20.0,11.0,8.0,2.31,0.93,0.49,0.3,44.97,11.0,4.0,23.0,36.0,521.0,08-30 02:24:19,0
27.0,20.0,11.0,9.0,2.16,1.36,0.38,0.39,44.96,11.0,4.0,23.0,35.0,524.0,08-30 02:24:20,0
27.0,20.0,13.0,8.0,2.66,0.81,0.47,0.34,44.89,11.0,4.0,23.0,35.0,521.0,08-30 02:24:21,0
27.0,19.0,12.0,9.0,1.96,1.24,0.4,0.33,44.94,11.0,4.0,22.0,35.0,530.0,08-30 02:24:22,0
27.0,19.0,11.0,8.0,2.57,1.0,0.4,0.38,45.05,11.0,4.0,23.0,36.0,523.0,08-30 02:24:23,0
27.0,20.0,12.0,10.0,2.38,0.88,0.5,0.3,44.99,11.0,4.0,23.0,36.0,530.0,08-30 02:24:24,0
27.0,19.0,13.0,9.0,2.65,0.92,0.43,0.4,45.03,11.0,4.0,23.0,36.0,522.0,08-30 02:24:25,0
27.0,19.0,12.0,8.0,2.34,0.91,0.49,0.3,45.05,11.0,4.0,23.0,36.0,518.0,08-30 02:24:26,0
27.0,20.0,12.0,8.0,2.14,1.32,0.4,0.38,45.15,11.0,4.0,22.0,35.0,528.0,08-30 02:24:27,0
27.07,20.0,13.0,8.0,2.67,0.82,0.48,0.33,45.19,11.0,4.0,23.0,35.0,516.0,08-30 02:24:28,0
27.1,20.0,12.0,8.0,1.96,1.26,0.4,0.35,45.14,11.0,4.0,22.0,36.0,526.0,08-30 02:24:29,0
27.1,20.0,12.0,8.0,2.6,1.06,0.4,0.4,45.07,11.0,4.0,23.0,35.0,529.0,08-30 02:24:30,0
27.1,20.0,12.0,8.0,2.26,1.01,0.48,0.3,45.06,11.0,4.0,22.0,35.0,529.0,08-30 02:24:31,0
27.1,20.0,13.0,8.0,2.29,1.23,0.38,0.38,45.15,11.0,4.0,22.0,35.0,520.0,08-30 02:24:32,0
27.05,20.0,12.0,7.0,2.56,0.82,0.49,0.34,45.2,11.0,4.0,22.0,36.0,511.0,08-30 02:24:33,0
27.0,20.0,12.0,7.0,2.46,1.66,0.51,0.47,45.11,11.0,4.0,22.0,36.0,522.0,08-30 02:24:34,0
27.08,20.0,11.0,8.0,3.26,1.21,0.71,0.52,45.08,11.0,4.0,22.0,36.0,523.0,08-30 02:24:35,0
27.09,20.0,12.0,8.0,2.53,1.56,0.68,0.46,45.01,11.0,4.0,22.0,35.0,519.0,08-30 02:24:36,0
27.0,20.0,12.0,7.0,3.12,1.41,0.62,0.55,45.03,11.0,4.0,22.0,35.0,515.0,08-30 02:24:37,0
27.0,20.0,13.0,9.0,2.85,1.29,0.69,0.48,45.07,11.0,4.0,22.0,35.0,514.0,08-30 02:24:38,0
27.0,20.0,12.0,8.0,2.67,1.71,0.57,0.54,45.07,11.0,4.0,22.0,35.0,527.0,08-30 02:24:39,0
27.06,20.0,12.0,8.0,3.21,1.25,0.75,0.5,45.07,11.0,4.0,22.0,36.0,526.0,08-30 02:24:40,0
27.1,19.0,12.0,9.0,2.58,1.71,0.67,0.52,45.05,11.0,4.0,22.0,36.0,530.0,08-30 02:24:41,0
27.2,20.0,13.0,6.0,3.28,1.45,0.66,0.57,45.05,11.0,4.0,22.0,36.0,512.0,08-30 02:24:42,0
27.2,20.0,12.0,7.0,3.15,1.14,0.8,0.5,45.02,11.0,4.0,23.0,35.0,523.0,08-30 02:24:43,0
27.17,20.0,12.0,8.0,3.11,1.19,0.78,0.49,45.46,11.0,4.0,23.0,35.0,523.0,08-30 02:24:44,0
27.14,19.0,13.0,8.0,3.08,1.25,0.75,0.48,45.97,84.0,59.0,22.0,35.0,512.0,08-30 02:24:45,0
27.1,20.0,12.0,9.0,2.58,1.73,0.61,0.53,46.41,84.0,59.0,22.0,36.0,515.0,08-30 02:24:46,0
27.2,20.0,12.0,9.0,3.32,1.27,0.68,0.54,46.65,11.0,4.0,23.0,36.0,525.0,08-30 02:24:47,0
27.2,21.0,12.0,8.0,2.61,1.47,0.68,0.5,46.81,84.0,59.0,23.0,35.0,528.0,08-30 02:24:48,0
27.2,20.0,12.0,9.0,3.08,1.63,0.63,0.59,46.86,11.0,4.0,23.0,36.0,520.0,08-30 02:24:49,0
27.2,20.0,12.0,8.0,3.11,1.29,0.77,0.5,46.93,13.0,79.0,23.0,35.0,522.0,08-30 02:24:50,0
27.2,21.0,12.0,8.0,2.7,1.79,0.62,0.56,47.04,6.0,79.0,23.0,35.0,525.0,08-30 02:24:51,0
27.3,20.0,13.0,7.0,3.35,1.26,0.74,0.52,47.09,6.0,78.0,22.0,35.0,511.0,08-30 02:24:52,0
27.3,20.0,12.0,7.0,2.61,1.63,0.69,0.52,47.09,12.0,78.0,22.0,35.0,530.0,08-30 02:24:53,0
27.3,21.0,13.0,7.0,3.21,1.49,0.66,0.58,47.1,12.0,78.0,22.0,36.0,513.0,08-30 02:24:54,0
27.3,19.0,12.0,9.0,3.3,1.13,0.8,0.5,47.09,8.0,80.0,23.0,35.0,518.0,08-30 02:24:55,0
27.2,20.0,12.0,9.0,3.11,1.67,0.64,0.6,47.05,12.0,79.0,23.0,36.0,520.0,08-30 02:24:56,0
27.28,20.0,12.0,7.0,3.13,1.27,0.77,0.5,47.11,13.0,80.0,22.0,35.0,513.0,08-30 02:24:57,0
27.3,20.0,12.0,9.0,2.62,1.74,0.63,0.54,47.08,13.0,80.0,23.0,36.0,527.0,08-30 02:24:58,0
27.3,20.0,12.0,7.0,3.36,1.31,0.76,0.56,47.06,8.0,81.0,23.0,35.0,513.0,08-30 02:24:59,0
27.3,20.0,12.0,9.0,2.57,1.71,0.71,0.52,47.04,8.0,81.0,22.0,36.0,523.0,08-30 02:25:00,0
27.3,20.0,12.0,10.0,3.18,1.6,0.65,0.6,46.98,8.0,81.0,23.0,35.0,521.0,08-30 02:25:01,0
27.3,20.0,12.0,9.0,3.09,1.41,0.8,0.5,47.05,12.0,77.0,22.0,35.0,522.0,08-30 02:25:02,0
27.3,20.0,12.0,9.0,2.84,1.8,0.63,0.58,47.12,6.0,79.0,22.0,35.0,514.0,08-30 02:25:03,1
27.4,21.0,11.0,8.0,3.41,1.3,0.78,0.54,47.07,14.0,79.0,23.0,35.0,524.0,08-30 02:25:04,1
27.4,21.0,12.0,8.0,2.6,1.79,0.7,0.52,47.05,14.0,78.0,22.0,36.0,512.0,08-30 02:25:05,1
27.4,20.0,12.0,9.0,3.21,1.49,0.68,0.57,47.01,14.0,78.0,22.0,35.0,525.0,08-30 02:25:06,1
27.47,20.0,12.0,9.0,2.9,1.51,0.78,0.5,47.01,14.0,78.0,23.0,35.0,523.0,08-30 02:25:07,1
27.5,20.0,12.0,10.0,2.91,1.73,0.63,0.59,47.06,13.0,79.0,22.0,36.0,529.0,08-30 02:25:08,1
27.5,20.0,12.0,8.0,3.34,1.32,0.79,0.52,47.15,12.0,79.0,23.0,36.0,520.0,08-30 02:25:09,1
27.52,20.0,13.0,8.0,2.63,1.86,0.7,0.56,47.19,12.0,79.0,23.0,36.0,512.0,08-30 02:25:10,1
27.6,20.0,12.0,8.0,3.4,1.43,0.76,0.58,47.23,13.0,80.0,22.0,35.0,516.0,08-30 02:25:11,1
27.6,20.0,13.0,7.0,2.8,1.62,0.77,0.51,47.35,13.0,80.0,22.0,35.0,529.0,08-30 02:25:12,1
27.6,20.0,12.0,8.0,3.16,1.68,0.69,0.6,47.27,12.0,79.0,23.0,35.0,520.0,08-30 02:25:13,1
27.7,20.0,12.0,8.0,3.29,1.4,0.8,0.51,47.26,14.0,81.0,23.0,36.0,520.0,08-30 02:25:14,1
27.72,20.0,13.0,8.0,2.73,1.89,0.69,0.57,47.35,12.0,79.0,23.0,36.0,519.0,08-30 02:25:15,1
27.8,20.0,12.0,7.0,3.43,1.34,0.76,0.56,47.3,12.0,79.0,23.0,36.0,516.0,08-30 02:25:16,1
27.8,20.0,11.0,8.0,2.71,1.72,0.72,0.53,47.33,12.0,79.0,23.0,36.0,526.0,08-30 02:25:17,1
27.8,20.0,12.0,8.0,3.22,1.54,0.69,0.59,47.42,12.0,77.0,22.0,35.0,518.0,08-30 02:25:18,1
27.88,20.0,12.0,9.0,3.1,1.47,0.8,0.5,47.47,13.0,80.0,22.0,35.0,528.0,08-30 02:25:19,1
27.91,20.0,12.0,8.0,2.91,1.9,0.7,0.6,47.52,13.0,80.0,23.0,36.0,525.0,08-30 02:25:20,1
28.0,20.0,12.0,9.0,3.47,1.34,0.83,0.56,47.49,12.0,79.0,22.0,35.0,523.0,08-30 02:25:21,1
28.04,20.0,12.0,8.0,2.72,1.86,0.75,0.55,47.49,12.0,79.0,23.0,36.0,526.0,08-30 02:25:22,1
28.1,20.0,11.0,9.0,3.36,1.6,0.74,0.6,47.52,12.0,79.0,23.0,35.0,529.0,08-30 02:25:23,1
28.17,19.0,12.0,8.0,2.97,1.58,0.83,0.52,47.7,12.0,79.0,22.0,36.0,520.0,08-30 02:25:24,1
28.2,19.0,12.0,8.0,3.02,1.74,0.7,0.6,47.77,12.0,79.0,23.0,36.0,511.0,08-30 02:25:25,1
28.3,20.0,13.0,6.0,2.7,1.8,0.8,0.5,47.69,12.0,79.0,22.0,36.0,522.0,08-30 02:25:26,1
28.3,19.0,13.0,6.0,2.81,1.85,0.69,0.57,47.74,12.0,79.0,23.0,36.0,512.0,08-30 02:25:27,1
28.3,21.0,12.0,8.0,3.5,1.41,0.78,0.57,47.86,12.0,77.0,22.0,36.0,518.0,08-30 02:25:28,1
28.37,20.0,12.0,8.0,2.78,1.86,0.76,0.56,47.88,12.0,77.0,23.0,35.0,516.0,08-30 02:25:29,1
28.4,20.0,12.0,8.0,3.44,1.62,0.77,0.64,47.89,12.0,79.0,22.0,36.0,523.0,08-30 02:25:30,1
28.5,20.0,11.0,8.0,3.04,1.56,0.85,0.55,47.94,14.0,81.0,22.0,36.0,514.0,08-30 02:25:31,1
28.5,20.0,12.0,8.0,3.06,1.87,0.72,0.63,47.96,14.0,79.0,23.0,35.0,514.0,08-30 02:25:32,1
28.5,19.0,12.0,9.0,3.41,1.4,0.86,0.56,48.0,14.0,79.0,22.0,35.0,512.0,08-30 02:25:33,1
28.56,19.0,12.0,7.0,2.8,1.9,0.74,0.58,48.01,12.0,79.0,22.0,35.0,521.0,08-30 02:25:34,1
28.6,19.0,12.0,8.0,3.52,1.56,0.79,0.6,48.06,12.0,79.0,23.0,36.0,511.0,08-30 02:25:35,1
28.68,19.0,11.0,8.0,2.91,1.76,0.82,0.52,48.08,12.0,79.0,23.0,36.0,525.0,08-30 02:25:36,1
28.72,20.0,13.0,8.0,3.1,1.97,0.72,0.63,48.08,12.0,79.0,22.0,36.0,528.0,08-30 02:25:37,1
28.8,19.0,12.0,8.0,3.36,1.71,0.88,0.54,48.11,12.0,79.0,22.0,36.0,516.0,08-30 02:25:38,1
28.86,21.0,12.0,8.0,2.87,2.27,0.73,0.6,48.18,12.0,78.0,22.0,35.0,521.0,08-30 02:25:39,1
28.9,20.0,11.0,8.0,3.56,1.88,0.82,0.59,48.22,13.0,78.0,22.0,35.0,525.0,08-30 02:25:40,1
28.99,20.0,12.0,9.0,2.84,2.27,0.79,0.55,48.32,108.0,57.0,22.0,36.0,513.0,08-30 02:25:41,1
29.01,20.0,12.0,8.0,3.33,2.26,0.74,0.62,48.29,109.0,56.0,22.0,36.0,522.0,08-30 02:25:42,1
29.1,20.0,12.0,7.0,3.12,2.17,0.85,0.54,48.43,109.0,56.0,23.0,35.0,522.0,08-30 02:25:43,1
29.14,19.0,12.0,7.0,2.98,2.65,0.7,0.64,48.56,109.0,56.0,22.0,35.0,527.0,08-30 02:25:44,1
29.2,20.0,11.0,8.0,3.55,2.21,0.85,0.57,48.65,108.0,57.0,22.0,35.0,516.0,08-30 02:25:45,1
