NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,20.0,11.0,9.0,3.04,1.67,0.71,0.67,43.91,8.0,7.0,23.0,36.0,513.0,08-27 05:45:15,0
27.0,20.0,12.0,9.0,2.55,0.99,0.53,0.45,43.88,8.0,7.0,23.0,36.0,513.0,08-27 05:45:16,0
27.1,20.0,12.0,8.0,2.2,1.17,0.43,0.42,43.85,8.0,7.0,22.0,36.0,529.0,08-27 05:45:17,0
27.1,20.0,12.0,9.0,2.3,1.31,0.36,0.5,43.81,8.0,7.0,22.0,36.0,530.0,08-27 05:45:18,0
27.1,20.0,12.0,7.0,2.5,0.98,0.46,0.43,43.71,8.0,7.0,22.0,35.0,519.0,08-27 05:45:19,0
27.1,20.0,12.0,9.0,2.09,1.38,0.37,0.49,43.72,8.0,7.0,23.0,36.0,511.0,08-27 05:45:20,0
27.1,19.0,12.0,7.0,2.63,0.98,0.42,0.47,43.78,85.0,66.0,22.0,35.0,528.0,08-27 05:45:21,0
27.1,20.0,12.0,8.0,2.02,1.25,0.44,0.45,43.78,85.0,66.0,22.0,35.0,524.0,08-27 05:45:22,0
27.08,21.0,12.0,8.0,2.42,1.23,0.36,0.5,43.74,8.0,7.0,23.0,36.0,516.0,08-27 05:45:23,0
27.0,20.0,11.0,8.0,2.42,1.06,0.48,0.44,43.73,8.0,7.0,22.0,36.0,516.0,08-27 05:45:24,0
27.06,20.0,11.0,9.0,2.18,1.36,0.32,0.5,43.75,8.0,7.0,23.0,35.0,523.0,08-27 05:45:25,0
27.1,20.0,12.0,6.0,2.66,0.99,0.46,0.44,43.78,8.0,7.0,22.0,35.0,522.0,08-27 05:45:26,0
27.1,20.0,12.0,8.0,2.01,1.27,0.39,0.46,43.82,8.0,7.0,23.0,35.0,530.0,08-27 05:45:27,0
