NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
28.8,20.0,12.0,8.0,2.77,0.9,0.47,0.52,47.19,15.0,78.0,23.0,36.0,524.0,08-27 02:19:10,0
28.89,20.0,12.0,8.0,2.26,1.1,0.47,0.43,47.21,15.0,78.0,22.0,36.0,518.0,08-27 02:19:11,0
28.89,20.0,12.0,9.0,2.4,1.32,0.4,0.52,47.23,14.0,81.0,23.0,36.0,516.0,08-27 02:19:12,0
28.8,20.0,12.0,9.0,2.64,0.9,0.5,0.44,47.37,14.0,81.0,23.0,35.0,514.0,08-27 02:19:13,0
28.8,20.0,11.0,9.0,2.12,1.37,0.42,0.49,47.38,14.0,79.0,23.0,35.0,522.0,08-27 02:19:14,0
28.8,20.0,13.0,9.0,2.72,0.92,0.49,0.47,47.33,14.0,79.0,22.0,36.0,512.0,08-27 02:19:15,0
28.88,20.0,12.0,8.0,2.02,1.22,0.48,0.44,47.21,15.0,78.0,22.0,36.0,516.0,08-27 02:19:16,0
28.9,20.0,11.0,7.0,2.6,1.1,0.42,0.52,47.11,14.0,79.0,22.0,36.0,528.0,08-27 02:19:17,0
28.9,20.0,12.0,8.0,2.31,1.01,0.5,0.4,47.04,14.0,79.0,22.0,35.0,515.0,08-27 02:19:18,0
28.94,20.0,12.0,8.0,2.24,1.39,0.4,0.52,46.97,14.0,79.0,23.0,35.0,525.0,08-27 02:19:19,0
29.0,21.0,12.0,8.0,2.7,0.89,0.54,0.47,46.94,14.0,79.0,23.0,36.0,511.0,08-27 02:19:20,0
29.0,20.0,13.0,7.0,2.06,1.26,0.44,0.48,46.91,14.0,80.0,22.0,35.0,527.0,08-27 02:19:21,0
29.0,20.0,13.0,9.0,2.71,1.1,0.44,0.5,46.86,16.0,78.0,23.0,35.0,516.0,08-27 02:19:22,0
29.0,20.0,12.0,7.0,2.28,1.04,0.51,0.41,46.87,14.0,80.0,23.0,35.0,527.0,08-27 02:19:23,0
29.0,20.0,13.0,9.0,2.41,1.32,0.42,0.5,46.83,14.0,81.0,22.0,35.0,517.0,08-27 02:19:24,0
29.0,21.0,11.0,10.0,2.58,0.89,0.54,0.43,46.8,15.0,79.0,23.0,36.0,516.0,08-27 02:19:25,0
28.92,19.0,12.0,9.0,2.11,1.39,0.41,0.49,46.82,15.0,79.0,22.0,35.0,514.0,08-27 02:19:26,0
