NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,19.0,14.0,10.0,2.6,1.4,0.5,0.73,43.17,80.0,72.0,22.0,36.0,527.0,09-20 21:18:26,0
27.0,20.0,12.0,8.0,2.51,1.21,0.51,0.67,43.16,80.0,72.0,22.0,35.0,520.0,09-20 21:18:27,0
27.0,19.0,12.0,7.0,2.86,1.09,0.59,0.7,43.17,80.0,72.0,22.0,36.0,517.0,09-20 21:18:28,0
27.0,20.0,11.0,8.0,2.74,0.94,0.85,0.53,43.24,80.0,72.0,22.0,36.0,518.0,09-20 21:18:29,0
27.0,21.0,12.0,7.0,2.33,1.41,0.53,0.61,43.28,80.0,72.0,22.0,35.0,528.0,09-20 21:18:30,0
27.0,20.0,12.0,10.0,2.91,1.02,0.66,0.7,43.29,80.0,72.0,23.0,36.0,525.0,09-20 21:18:31,0
27.0,20.0,12.0,7.0,2.57,1.02,0.82,0.53,43.32,80.0,72.0,22.0,35.0,525.0,09-20 21:18:32,0
27.0,20.0,12.0,8.0,2.38,1.39,0.52,0.64,43.4,80.0,72.0,22.0,35.0,523.0,09-20 21:18:33,0
27.0,19.0,12.0,8.0,2.96,0.92,0.66,0.67,43.44,80.0,72.0,22.0,36.0,528.0,09-20 21:18:34,0
27.0,20.0,12.0,8.0,2.39,1.09,0.79,0.51,43.46,80.0,72.0,23.0,35.0,511.0,09-20 21:18:35,0
27.0,20.0,12.0,7.0,2.47,1.34,0.48,0.69,43.38,80.0,72.0,22.0,36.0,521.0,09-20 21:18:36,0
27.0,20.0,12.0,9.0,3.02,0.84,0.74,0.61,43.25,80.0,72.0,23.0,36.0,519.0,09-20 21:18:37,0
27.0,20.0,12.0,8.0,2.33,1.19,0.74,0.5,43.24,80.0,72.0,22.0,36.0,514.0,09-20 21:18:38,0
27.0,19.0,12.0,9.0,2.48,1.38,0.5,0.7,43.33,80.0,72.0,23.0,36.0,527.0,09-20 21:18:39,0
27.1,21.0,12.0,8.0,2.7,0.95,0.88,0.53,43.4,80.0,72.0,23.0,36.0,511.0,09-20 21:18:40,0
27.1,20.0,12.0,8.0,2.21,1.29,0.57,0.59,43.42,80.0,72.0,22.0,35.0,517.0,09-20 21:18:41,0
27.1,20.0,12.0,7.0,2.82,1.18,0.57,0.72,43.4,80.0,72.0,23.0,35.0,518.0,09-20 21:18:42,0
27.06,20.0,12.0,9.0,2.84,0.91,0.86,0.53,43.32,80.0,72.0,22.0,36.0,518.0,09-20 21:18:43,0
27.0,20.0,12.0,8.0,2.28,1.39,0.59,0.61,43.21,80.0,75.0,23.0,36.0,515.0,09-20 21:18:44,0
27.0,20.0,12.0,8.0,2.89,1.06,0.57,0.69,43.24,80.0,72.0,22.0,35.0,519.0,09-20 21:18:45,0
27.0,20.0,13.0,9.0,2.56,0.96,0.84,0.53,43.24,80.0,72.0,23.0,36.0,526.0,09-20 21:18:46,0
27.1,20.0,12.0,8.0,2.33,1.34,0.52,0.62,43.29,80.0,72.0,23.0,36.0,524.0,09-20 21:18:47,0
27.07,20.0,12.0,8.0,2.91,0.94,0.67,0.67,43.29,80.0,72.0,23.0,35.0,528.0,09-20 21:18:48,0
27.0,20.0,12.0,8.0,2.46,1.09,0.83,0.53,43.27,80.0,72.0,22.0,35.0,515.0,09-20 21:18:49,0
27.07,19.0,12.0,9.0,2.44,1.41,0.51,0.69,43.27,80.0,72.0,22.0,35.0,524.0,09-20 21:18:50,0
27.1,20.0,12.0,8.0,3.05,0.86,0.71,0.63,43.21,80.0,72.0,22.0,36.0,516.0,09-20 21:18:51,0
27.01,20.0,12.0,9.0,2.34,1.1,0.76,0.54,43.14,80.0,72.0,23.0,36.0,525.0,09-20 21:18:52,0
27.0,20.0,12.0,8.0,2.4,1.45,0.45,0.68,43.09,80.0,72.0,22.0,36.0,518.0,09-20 21:18:53,0
27.05,20.0,12.0,8.0,2.28,1.36,0.56,0.61,45.55,91.0,62.0,23.0,36.0,517.0,09-20 21:18:54,0
27.1,20.0,12.0,8.0,2.16,1.27,0.67,0.54,49.13,90.0,63.0,22.0,35.0,522.0,09-20 21:18:55,0
27.1,21.0,12.0,9.0,2.59,1.31,0.54,0.74,50.09,90.0,62.0,22.0,36.0,529.0,09-20 21:18:56,0
27.1,20.0,13.0,9.0,2.9,0.92,0.81,0.54,50.91,91.0,62.0,23.0,35.0,513.0,09-20 21:18:57,0
27.1,20.0,12.0,7.0,2.23,1.31,0.63,0.57,51.14,89.0,61.0,22.0,35.0,530.0,09-20 21:18:58,0
27.1,20.0,12.0,8.0,2.8,1.15,0.57,0.72,51.27,91.0,60.0,22.0,35.0,513.0,09-20 21:18:59,0
27.1,20.0,12.0,8.0,2.97,0.83,0.82,0.56,51.39,91.0,60.0,22.0,36.0,525.0,09-20 21:19:00,0
27.2,21.0,12.0,7.0,2.5,1.44,0.5,0.71,51.56,89.0,61.0,22.0,36.0,526.0,09-20 21:19:01,0
27.12,20.0,12.0,7.0,3.02,0.9,0.66,0.64,51.75,89.0,61.0,23.0,35.0,528.0,09-20 21:19:02,0
27.11,20.0,12.0,8.0,2.27,1.11,0.76,0.53,51.76,91.0,60.0,23.0,36.0,523.0,09-20 21:19:03,0
27.2,21.0,11.0,8.0,2.54,1.3,0.53,0.69,51.81,87.0,60.0,22.0,35.0,530.0,09-20 21:19:04,0
27.2,20.0,12.0,8.0,3.04,0.85,0.74,0.59,51.87,91.0,60.0,23.0,35.0,521.0,09-20 21:19:05,0
27.2,19.0,12.0,9.0,2.22,1.22,0.7,0.54,51.88,84.0,84.0,23.0,35.0,528.0,09-20 21:19:06,0
27.2,21.0,12.0,8.0,2.67,1.27,0.52,0.72,52.0,84.0,84.0,22.0,35.0,517.0,09-20 21:19:07,0
27.2,19.0,12.0,8.0,2.93,0.86,0.81,0.53,52.09,84.0,84.0,23.0,36.0,525.0,09-20 21:19:08,0
27.2,19.0,12.0,9.0,2.24,1.29,0.62,0.57,52.34,84.0,84.0,23.0,35.0,515.0,09-20 21:19:09,0
27.2,20.0,12.0,8.0,2.71,1.18,0.52,0.72,52.45,84.0,84.0,23.0,35.0,522.0,09-20 21:19:10,0
27.2,20.0,12.0,8.0,2.72,0.91,0.82,0.51,52.62,84.0,84.0,23.0,36.0,525.0,09-20 21:19:11,0
27.2,20.0,12.0,9.0,2.27,1.31,0.57,0.6,52.73,84.0,84.0,22.0,35.0,526.0,09-20 21:19:12,0
27.2,20.0,12.0,8.0,2.82,1.05,0.61,0.7,52.83,84.0,84.0,23.0,35.0,521.0,09-20 21:19:13,0
27.27,20.0,11.0,8.0,2.68,0.97,0.8,0.51,52.94,84.0,84.0,23.0,35.0,529.0,09-20 21:19:14,0
27.3,21.0,12.0,9.0,2.28,1.37,0.5,0.63,53.15,84.0,84.0,23.0,36.0,527.0,09-20 21:19:15,0
27.3,20.0,12.0,8.0,3.0,0.92,0.66,0.66,53.28,84.0,84.0,22.0,35.0,526.0,09-20 21:19:16,0
27.26,20.0,12.0,8.0,2.48,1.06,0.8,0.49,53.33,84.0,84.0,22.0,36.0,522.0,09-20 21:19:17,0
27.2,20.0,12.0,6.0,2.39,1.36,0.5,0.67,53.45,84.0,84.0,23.0,36.0,514.0,09-20 21:19:18,0
27.2,21.0,12.0,7.0,3.01,0.91,0.66,0.64,53.69,84.0,84.0,23.0,36.0,530.0,09-20 21:19:19,0
