NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.1,20.0,11.0,8.0,4.67,1.17,0.52,1.0,45.93,80.0,74.0,22.0,36.0,517.0,09-20 14:39:23,0
27.1,21.0,12.0,8.0,4.49,0.94,0.77,0.79,45.89,76.0,69.0,23.0,35.0,511.0,09-20 14:39:24,0
27.1,20.0,12.0,8.0,3.93,1.53,0.48,0.89,45.85,76.0,69.0,22.0,35.0,529.0,09-20 14:39:25,0
27.05,20.0,12.0,8.0,4.45,1.23,0.5,1.03,45.86,76.0,69.0,23.0,35.0,527.0,09-20 14:39:26,0
27.0,20.0,12.0,8.0,3.86,1.38,0.61,0.79,45.87,80.0,74.0,22.0,36.0,513.0,09-20 14:39:27,0
27.1,19.0,12.0,7.0,4.06,1.51,0.41,0.99,45.94,80.0,74.0,22.0,35.0,530.0,09-20 14:39:28,0
27.1,20.0,11.0,7.0,4.72,0.93,0.66,0.88,45.91,80.0,74.0,23.0,35.0,514.0,09-20 14:39:29,0
27.1,20.0,12.0,7.0,3.92,1.34,0.66,0.79,45.9,80.0,74.0,22.0,36.0,514.0,09-20 14:39:30,0
27.1,21.0,12.0,7.0,4.31,1.38,0.41,1.01,45.9,80.0,74.0,23.0,35.0,521.0,09-20 14:39:31,0
27.1,20.0,12.0,8.0,4.65,0.95,0.78,0.84,45.91,80.0,74.0,22.0,35.0,525.0,09-20 14:39:32,0
27.1,20.0,12.0,8.0,3.87,1.36,0.61,0.82,45.95,76.0,69.0,22.0,36.0,523.0,09-20 14:39:33,0
27.1,21.0,11.0,7.0,4.36,1.3,0.47,1.01,45.98,76.0,69.0,23.0,36.0,521.0,09-20 14:39:34,0
27.1,20.0,12.0,8.0,4.85,0.8,0.75,0.9,45.97,80.0,74.0,22.0,35.0,530.0,09-20 14:39:35,0
27.15,20.0,12.0,8.0,4.72,0.96,0.62,0.94,46.68,80.0,74.0,23.0,35.0,519.0,09-20 14:39:36,0
27.2,21.0,12.0,8.0,4.6,1.13,0.5,0.98,47.39,80.0,74.0,23.0,35.0,519.0,09-20 14:39:37,0
27.2,20.0,12.0,8.0,4.4,1.04,0.78,0.78,47.52,80.0,74.0,22.0,36.0,518.0,09-20 14:39:38,0
27.2,19.0,13.0,8.0,3.86,1.5,0.47,0.89,47.7,80.0,74.0,23.0,36.0,529.0,09-20 14:39:39,0
