NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.9,20.0,12.0,9.0,2.0,1.1,0.75,0.56,43.64,78.0,3.0,22.0,36.0,512.0,09-20 08:11:52,0
27.98,20.0,13.0,8.0,2.31,1.15,0.6,0.52,43.61,78.0,3.0,22.0,35.0,529.0,09-20 08:11:53,0
28.1,21.0,12.0,8.0,2.19,1.06,0.78,0.5,43.62,78.0,3.0,23.0,35.0,512.0,09-20 08:11:54,0
28.17,20.0,12.0,7.0,2.27,1.32,0.56,0.61,43.66,77.0,3.0,22.0,36.0,512.0,09-20 08:11:55,0
28.2,19.0,13.0,9.0,2.48,0.85,0.65,0.66,43.68,78.0,1.0,23.0,35.0,521.0,09-20 08:11:56,0
28.1,20.0,11.0,9.0,2.07,1.28,0.6,0.52,43.66,78.0,3.0,22.0,35.0,530.0,09-20 08:11:57,0
28.08,20.0,12.0,8.0,2.37,1.14,0.61,0.65,43.65,78.0,3.0,23.0,35.0,520.0,09-20 08:11:58,0
28.0,19.0,13.0,8.0,2.56,0.97,0.78,0.49,43.65,78.0,3.0,23.0,35.0,514.0,09-20 08:11:59,0
27.94,21.0,12.0,8.0,2.01,1.27,0.55,0.57,43.61,78.0,3.0,23.0,35.0,513.0,09-20 08:12:00,0
27.9,20.0,13.0,8.0,2.59,1.03,0.63,0.64,43.46,76.0,6.0,23.0,35.0,530.0,09-20 08:12:01,0
27.9,20.0,12.0,8.0,2.31,1.0,0.81,0.47,43.4,78.0,3.0,23.0,36.0,514.0,09-20 08:12:02,0
27.9,20.0,11.0,8.0,2.14,1.3,0.51,0.6,43.42,77.0,3.0,22.0,35.0,521.0,09-20 08:12:03,0
27.9,19.0,13.0,8.0,2.59,0.93,0.66,0.62,43.41,76.0,6.0,23.0,36.0,513.0,09-20 08:12:04,0
27.96,20.0,12.0,7.0,2.17,1.04,0.77,0.5,43.4,76.0,6.0,22.0,35.0,526.0,09-20 08:12:05,0
28.0,20.0,12.0,7.0,2.22,1.38,0.55,0.61,43.37,78.0,3.0,22.0,35.0,515.0,09-20 08:12:06,0
27.82,20.0,12.0,8.0,2.58,0.86,0.72,0.59,43.34,78.0,3.0,22.0,35.0,512.0,09-20 08:12:07,0
27.8,20.0,13.0,6.0,2.1,1.13,0.73,0.49,43.33,78.0,5.0,22.0,36.0,530.0,09-20 08:12:08,0
27.8,20.0,12.0,8.0,2.26,1.31,0.58,0.65,43.46,79.0,3.0,22.0,36.0,526.0,09-20 08:12:09,0
27.76,20.0,12.0,8.0,2.64,0.96,0.74,0.55,43.47,76.0,6.0,22.0,36.0,523.0,09-20 08:12:10,0
27.7,20.0,12.0,8.0,1.96,1.21,0.68,0.53,43.43,78.0,3.0,23.0,36.0,511.0,09-20 08:12:11,0
27.5,20.0,11.0,7.0,2.38,1.2,0.57,0.66,43.44,78.0,3.0,22.0,35.0,521.0,09-20 08:12:12,0
27.4,21.0,12.0,8.0,2.56,0.94,0.77,0.52,43.45,78.0,3.0,22.0,35.0,525.0,09-20 08:12:13,0
27.4,21.0,12.0,10.0,2.06,1.26,0.61,0.56,43.45,78.0,3.0,22.0,36.0,512.0,09-20 08:12:14,0
27.4,20.0,12.0,8.0,2.41,1.03,0.62,0.65,43.4,78.0,3.0,23.0,35.0,520.0,09-20 08:12:15,0
27.4,20.0,12.0,8.0,2.49,0.98,0.82,0.49,43.34,78.0,3.0,22.0,36.0,521.0,09-20 08:12:16,0
27.4,19.0,12.0,9.0,2.03,1.3,0.59,0.56,43.33,78.0,3.0,22.0,36.0,523.0,09-20 08:12:17,0
27.4,21.0,12.0,8.0,2.52,1.01,0.65,0.64,43.28,78.0,3.0,23.0,35.0,526.0,09-20 08:12:18,0
27.4,21.0,12.0,8.0,2.26,1.03,0.77,0.47,43.27,78.0,3.0,23.0,36.0,516.0,09-20 08:12:19,0
27.4,20.0,11.0,8.0,2.1,1.41,0.55,0.6,43.23,78.0,3.0,22.0,36.0,515.0,09-20 08:12:20,0
27.4,20.0,12.0,8.0,2.59,0.97,0.64,0.6,43.19,78.0,2.0,22.0,36.0,516.0,09-20 08:12:21,0
27.36,20.0,12.0,7.0,2.2,1.1,0.77,0.5,43.22,78.0,2.0,22.0,35.0,515.0,09-20 08:12:22,0
27.3,20.0,12.0,8.0,2.21,1.32,0.53,0.62,43.25,78.0,2.0,23.0,35.0,515.0,09-20 08:12:23,0
27.39,20.0,12.0,8.0,2.72,0.94,0.71,0.57,43.25,78.0,3.0,23.0,36.0,528.0,09-20 08:12:24,0
27.38,20.0,12.0,9.0,2.08,1.1,0.74,0.52,43.32,77.0,4.0,23.0,35.0,511.0,09-20 08:12:25,0
27.2,21.0,12.0,9.0,2.31,1.28,0.57,0.64,43.3,77.0,3.0,22.0,36.0,517.0,09-20 08:12:26,0
27.2,20.0,12.0,8.0,2.5,0.9,0.65,0.66,43.23,77.0,3.0,23.0,35.0,525.0,09-20 08:12:27,0
27.1,21.0,13.0,6.0,2.17,1.39,0.56,0.58,43.24,77.0,3.0,22.0,35.0,524.0,09-20 08:12:28,0
27.18,20.0,13.0,7.0,2.48,0.96,0.62,0.62,43.24,76.0,6.0,22.0,36.0,517.0,09-20 08:12:29,0
27.2,20.0,13.0,7.0,2.36,1.02,0.74,0.48,43.25,76.0,6.0,23.0,36.0,530.0,09-20 08:12:30,0
27.3,19.0,12.0,8.0,2.09,1.33,0.56,0.6,43.22,77.0,3.0,22.0,35.0,519.0,09-20 08:12:31,0
27.37,20.0,12.0,8.0,2.64,0.98,0.66,0.6,43.15,78.0,3.0,23.0,36.0,527.0,09-20 08:12:32,0
27.5,21.0,13.0,8.0,2.1,1.06,0.79,0.5,43.17,76.0,6.0,22.0,36.0,523.0,09-20 08:12:33,0
27.56,20.0,12.0,8.0,2.19,1.3,0.49,0.61,43.18,78.0,3.0,23.0,36.0,522.0,09-20 08:12:34,0
27.6,20.0,12.0,8.0,2.63,0.94,0.71,0.58,43.15,77.0,3.0,22.0,36.0,523.0,09-20 08:12:35,0
27.6,20.0,12.0,7.0,2.11,1.13,0.73,0.52,43.26,77.0,3.0,23.0,36.0,518.0,09-20 08:12:36,0
27.61,20.0,12.0,8.0,2.26,1.26,0.52,0.61,43.24,78.0,3.0,22.0,36.0,519.0,09-20 08:12:37,0
27.7,21.0,12.0,8.0,2.61,0.91,0.75,0.56,43.34,78.0,6.0,23.0,35.0,522.0,09-20 08:12:38,0
27.74,20.0,12.0,7.0,2.01,1.18,0.71,0.5,43.3,78.0,6.0,22.0,36.0,524.0,09-20 08:12:39,0
27.8,19.0,12.0,9.0,2.34,1.22,0.58,0.63,43.21,78.0,6.0,23.0,35.0,519.0,09-20 08:12:40,0
27.8,20.0,12.0,8.0,2.47,0.91,0.79,0.52,43.26,77.0,3.0,22.0,36.0,516.0,09-20 08:12:41,0
27.82,20.0,13.0,8.0,2.07,1.29,0.62,0.56,43.27,77.0,3.0,22.0,35.0,524.0,09-20 08:12:42,0
27.9,19.0,12.0,9.0,2.38,1.08,0.61,0.66,43.21,78.0,3.0,22.0,36.0,529.0,09-20 08:12:43,0
27.9,20.0,12.0,7.0,2.43,0.97,0.75,0.49,43.26,78.0,6.0,23.0,36.0,519.0,09-20 08:12:44,0
27.9,20.0,12.0,8.0,2.06,1.3,0.59,0.55,43.23,77.0,3.0,22.0,36.0,520.0,09-20 08:12:45,0
27.82,20.0,13.0,8.0,2.52,0.96,0.66,0.64,43.23,78.0,3.0,22.0,35.0,514.0,09-20 08:12:46,0
27.8,20.0,13.0,7.0,2.28,1.02,0.8,0.46,43.2,78.0,3.0,23.0,35.0,525.0,09-20 08:12:47,0
27.5,20.0,13.0,9.0,2.1,1.33,0.57,0.59,43.17,78.0,3.0,22.0,35.0,528.0,09-20 08:12:48,0
27.47,20.0,11.0,8.0,2.56,0.94,0.66,0.62,43.22,77.0,3.0,22.0,36.0,512.0,09-20 08:12:49,0
27.4,20.0,12.0,9.0,2.2,1.09,0.76,0.49,43.18,77.0,3.0,22.0,35.0,515.0,09-20 08:12:50,0
27.4,20.0,13.0,8.0,2.12,1.38,0.56,0.61,43.14,78.0,3.0,23.0,36.0,522.0,09-20 08:12:51,0
27.4,19.0,12.0,9.0,2.66,0.93,0.67,0.59,43.17,77.0,6.0,23.0,36.0,518.0,09-20 08:12:52,0
27.31,21.0,12.0,8.0,2.01,1.14,0.69,0.5,43.22,78.0,1.0,22.0,36.0,528.0,09-20 08:12:53,0
27.3,20.0,11.0,8.0,2.29,1.28,0.56,0.62,43.19,78.0,3.0,22.0,36.0,513.0,09-20 08:12:54,0
27.3,20.0,12.0,7.0,2.61,0.93,0.74,0.54,43.19,78.0,3.0,23.0,36.0,512.0,09-20 08:12:55,0
27.25,20.0,12.0,9.0,1.96,1.18,0.66,0.53,43.26,77.0,6.0,23.0,36.0,525.0,09-20 08:12:56,0
27.2,20.0,12.0,8.0,2.35,1.22,0.55,0.66,43.16,77.0,6.0,23.0,36.0,519.0,09-20 08:12:57,0
27.2,19.0,12.0,8.0,1.95,1.12,0.72,0.51,43.12,77.0,6.0,22.0,35.0,522.0,09-20 08:12:58,0
27.2,20.0,12.0,9.0,2.14,1.34,0.54,0.57,43.14,78.0,1.0,23.0,35.0,515.0,09-20 08:12:59,0
27.2,20.0,12.0,8.0,2.58,0.94,0.68,0.66,43.06,77.0,6.0,23.0,35.0,522.0,09-20 08:13:00,0
27.23,20.0,13.0,8.0,2.2,1.06,0.79,0.47,43.09,76.0,6.0,23.0,36.0,529.0,09-20 08:13:01,0
27.3,20.0,12.0,8.0,2.16,1.32,0.55,0.6,43.08,77.0,6.0,22.0,35.0,517.0,09-20 08:13:02,0
27.37,20.0,13.0,8.0,2.64,0.91,0.72,0.58,43.17,77.0,6.0,23.0,35.0,529.0,09-20 08:13:03,0
27.4,20.0,12.0,9.0,1.99,1.18,0.74,0.5,43.26,77.0,6.0,22.0,35.0,524.0,09-20 08:13:04,0
27.4,20.0,12.0,8.0,2.26,1.38,0.55,0.62,43.16,77.0,6.0,22.0,35.0,518.0,09-20 08:13:05,0
27.4,21.0,12.0,8.0,2.61,0.97,0.74,0.57,43.17,78.0,1.0,23.0,36.0,511.0,09-20 08:13:06,0
27.4,20.0,12.0,7.0,2.02,1.17,0.64,0.52,43.17,78.0,3.0,22.0,36.0,522.0,09-20 08:13:07,0
27.4,20.0,12.0,8.0,2.39,1.23,0.55,0.66,43.17,78.0,1.0,23.0,35.0,518.0,09-20 08:13:08,0
27.4,20.0,12.0,8.0,2.52,0.93,0.78,0.49,43.22,78.0,6.0,23.0,36.0,528.0,09-20 08:13:09,0
27.49,20.0,12.0,9.0,2.06,1.27,0.62,0.55,43.57,28.0,15.0,22.0,36.0,514.0,09-20 08:13:10,0
27.52,20.0,12.0,8.0,2.38,1.15,0.61,0.65,44.0,28.0,15.0,23.0,35.0,520.0,09-20 08:13:11,0
27.6,20.0,12.0,8.0,2.4,1.04,0.78,0.48,44.16,28.0,15.0,22.0,36.0,528.0,09-20 08:13:12,0
27.6,20.0,12.0,8.0,2.0,1.38,0.59,0.57,44.21,28.0,15.0,23.0,35.0,514.0,09-20 08:13:13,0
27.6,20.0,12.0,7.0,2.52,1.12,0.64,0.65,44.51,28.0,15.0,22.0,36.0,529.0,09-20 08:13:14,0
27.6,20.0,12.0,8.0,2.28,1.1,0.77,0.48,44.78,28.0,15.0,22.0,35.0,529.0,09-20 08:13:15,0
27.6,20.0,12.0,9.0,2.1,1.42,0.56,0.6,44.84,28.0,15.0,22.0,35.0,517.0,09-20 08:13:16,0
27.6,20.0,12.0,7.0,2.64,1.0,0.66,0.62,44.91,28.0,15.0,23.0,35.0,520.0,09-20 08:13:17,0
27.57,20.0,13.0,9.0,2.13,1.17,0.77,0.49,44.98,28.0,15.0,22.0,35.0,514.0,09-20 08:13:18,0
27.5,20.0,11.0,7.0,2.2,1.36,0.52,0.59,45.15,28.0,15.0,22.0,35.0,525.0,09-20 08:13:19,0
27.37,20.0,13.0,8.0,2.59,0.99,0.72,0.58,45.4,28.0,15.0,23.0,36.0,513.0,09-20 08:13:20,0
27.3,20.0,12.0,8.0,2.11,1.25,0.73,0.5,46.19,28.0,15.0,22.0,35.0,511.0,09-20 08:13:21,0
27.3,20.0,13.0,8.0,2.26,1.41,0.55,0.63,48.45,28.0,15.0,22.0,36.0,528.0,09-20 08:13:22,0
27.23,19.0,12.0,8.0,2.61,1.05,0.74,0.55,49.87,28.0,15.0,22.0,36.0,525.0,09-20 08:13:23,0
27.1,19.0,12.0,9.0,2.02,1.26,0.64,0.51,50.42,28.0,15.0,22.0,35.0,529.0,09-20 08:13:24,0
27.16,20.0,12.0,8.0,2.29,1.28,0.56,0.62,50.8,28.0,15.0,22.0,36.0,516.0,09-20 08:13:25,0
27.2,19.0,13.0,8.0,2.55,1.03,0.79,0.51,50.98,28.0,15.0,22.0,36.0,514.0,09-20 08:13:26,0
27.2,19.0,12.0,6.0,2.0,1.41,0.66,0.52,51.3,28.0,15.0,23.0,35.0,524.0,09-20 08:13:27,0
27.2,20.0,11.0,9.0,2.3,1.44,0.55,0.65,51.57,28.0,15.0,23.0,35.0,522.0,09-20 08:13:28,0
27.1,19.0,12.0,8.0,1.98,1.26,0.7,0.51,51.76,28.0,15.0,22.0,36.0,521.0,09-20 08:13:29,0
27.1,19.0,11.0,9.0,2.19,1.48,0.5,0.58,51.86,28.0,15.0,23.0,35.0,520.0,09-20 08:13:30,0
27.1,20.0,12.0,7.0,2.69,1.1,0.72,0.59,52.02,29.0,15.0,23.0,36.0,515.0,09-20 08:13:31,0
27.02,20.0,12.0,8.0,2.1,1.28,0.74,0.49,52.11,28.0,15.0,22.0,36.0,511.0,09-20 08:13:32,0
27.01,20.0,13.0,8.0,2.22,1.43,0.53,0.62,52.15,29.0,15.0,22.0,36.0,517.0,09-20 08:13:33,0
27.1,21.0,12.0,9.0,2.6,1.09,0.72,0.54,52.21,28.0,15.0,23.0,36.0,527.0,09-20 08:13:34,0
27.13,20.0,11.0,8.0,1.99,1.43,0.64,0.52,52.31,28.0,15.0,22.0,36.0,513.0,09-20 08:13:35,0
27.2,20.0,12.0,8.0,2.39,1.36,0.55,0.65,52.37,28.0,15.0,22.0,35.0,524.0,09-20 08:13:36,0
27.2,19.0,12.0,7.0,2.57,1.12,0.77,0.52,52.39,28.0,15.0,23.0,36.0,516.0,09-20 08:13:37,0
