NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.19,21.0,11.0,8.0,2.37,0.81,0.43,0.4,48.31,116.0,91.0,23.0,36.0,513.0,09-01 13:53:56,0
27.1,19.0,11.0,8.0,2.16,0.96,0.51,0.41,48.26,116.0,91.0,22.0,36.0,527.0,09-01 13:53:57,0
27.1,20.0,11.0,8.0,2.25,1.07,0.34,0.5,48.18,116.0,92.0,23.0,35.0,529.0,09-01 13:53:58,0
27.1,20.0,11.0,8.0,2.74,0.72,0.54,0.44,48.11,116.0,92.0,23.0,36.0,522.0,09-01 13:53:59,0
27.1,20.0,11.0,9.0,2.01,0.98,0.52,0.4,48.02,116.0,92.0,22.0,35.0,516.0,09-01 13:54:00,0
27.1,20.0,11.0,8.0,2.36,1.13,0.3,0.57,47.88,116.0,92.0,22.0,35.0,525.0,09-01 13:54:01,0
27.1,21.0,13.0,8.0,2.85,0.61,0.52,0.49,47.79,116.0,91.0,22.0,36.0,526.0,09-01 13:54:02,0
27.1,20.0,10.0,8.0,2.05,1.19,0.4,0.46,47.74,116.0,92.0,23.0,35.0,519.0,09-01 13:54:03,0
27.1,20.0,11.0,8.0,2.52,0.92,0.39,0.56,47.7,116.0,92.0,22.0,35.0,511.0,09-01 13:54:04,0
27.1,20.0,10.0,7.0,2.51,0.79,0.66,0.4,47.68,116.0,92.0,22.0,36.0,527.0,09-01 13:54:05,0
27.1,21.0,11.0,9.0,2.04,1.27,0.34,0.48,47.65,116.0,91.0,22.0,35.0,527.0,09-01 13:54:06,0
27.1,22.0,11.0,9.0,2.69,0.82,0.44,0.54,47.65,116.0,91.0,22.0,36.0,511.0,09-01 13:54:07,0
27.1,19.0,10.0,8.0,2.36,0.87,0.63,0.36,47.67,116.0,91.0,22.0,36.0,519.0,09-01 13:54:08,0
27.1,19.0,11.0,8.0,2.07,1.24,0.31,0.5,47.7,116.0,91.0,23.0,35.0,515.0,09-01 13:54:09,0
27.1,21.0,11.0,9.0,2.68,0.77,0.47,0.51,47.7,116.0,91.0,23.0,35.0,524.0,09-01 13:54:10,0
27.1,20.0,11.0,9.0,2.12,0.93,0.57,0.36,47.7,116.0,91.0,23.0,36.0,523.0,09-01 13:54:11,0
27.1,20.0,11.0,8.0,2.16,1.27,0.31,0.52,47.66,116.0,91.0,22.0,36.0,516.0,09-01 13:54:12,0
27.1,19.0,10.0,8.0,2.67,0.74,0.47,0.48,47.63,116.0,91.0,22.0,36.0,521.0,09-01 13:54:13,0
27.1,20.0,11.0,8.0,2.07,1.04,0.52,0.37,47.51,116.0,91.0,23.0,35.0,529.0,09-01 13:54:14,0
27.1,20.0,12.0,8.0,2.35,1.17,0.33,0.58,47.49,116.0,91.0,22.0,35.0,516.0,09-01 13:54:15,0
27.1,21.0,11.0,8.0,2.75,0.69,0.54,0.43,47.48,116.0,91.0,23.0,36.0,523.0,09-01 13:54:16,0
27.1,21.0,11.0,8.0,1.99,1.04,0.47,0.41,47.47,116.0,91.0,23.0,36.0,519.0,09-01 13:54:17,0
27.1,20.0,11.0,8.0,2.39,1.09,0.32,0.56,47.44,116.0,91.0,23.0,35.0,522.0,09-01 13:54:18,0
27.1,20.0,11.0,8.0,2.62,0.69,0.58,0.39,47.42,116.0,91.0,23.0,36.0,514.0,09-01 13:54:19,0
27.1,20.0,11.0,7.0,1.95,1.19,0.41,0.43,47.32,116.0,91.0,22.0,35.0,524.0,09-01 13:54:20,0
27.1,22.0,11.0,7.0,2.52,1.01,0.37,0.57,47.3,116.0,91.0,22.0,36.0,522.0,09-01 13:54:21,0
27.04,20.0,10.0,8.0,2.56,0.78,0.63,0.41,47.27,116.0,91.0,23.0,36.0,525.0,09-01 13:54:22,0
27.0,19.0,11.0,8.0,2.02,1.17,0.32,0.46,47.28,116.0,91.0,23.0,36.0,515.0,09-01 13:54:23,0
27.09,20.0,11.0,8.0,2.59,0.83,0.42,0.55,47.25,116.0,91.0,23.0,36.0,522.0,09-01 13:54:24,0
27.1,21.0,11.0,8.0,2.41,0.82,0.65,0.36,47.22,116.0,91.0,22.0,36.0,517.0,09-01 13:54:25,0
27.1,20.0,11.0,7.0,2.06,1.25,0.33,0.49,47.13,116.0,91.0,23.0,35.0,516.0,09-01 13:54:26,0
27.1,21.0,10.0,7.0,2.73,0.79,0.42,0.52,47.16,116.0,91.0,23.0,36.0,511.0,09-01 13:54:27,0
27.1,20.0,11.0,8.0,2.65,0.75,0.6,0.39,47.17,116.0,92.0,22.0,35.0,520.0,09-01 13:54:28,0
27.1,21.0,11.0,8.0,2.38,1.15,0.29,0.54,47.15,116.0,91.0,23.0,36.0,528.0,09-01 13:54:29,0
27.1,19.0,11.0,7.0,2.62,0.68,0.61,0.43,47.17,116.0,91.0,22.0,36.0,521.0,09-01 13:54:30,0
27.1,21.0,11.0,8.0,2.03,1.18,0.43,0.43,47.18,116.0,91.0,23.0,36.0,511.0,09-01 13:54:31,0
27.1,20.0,10.0,8.0,2.52,1.01,0.39,0.59,47.2,116.0,91.0,23.0,35.0,512.0,09-01 13:54:32,0
27.1,20.0,11.0,8.0,2.44,0.78,0.61,0.36,47.15,116.0,91.0,22.0,35.0,526.0,09-01 13:54:33,0
27.1,19.0,10.0,8.0,2.02,1.21,0.32,0.46,47.09,116.0,92.0,23.0,36.0,512.0,09-01 13:54:34,0
27.1,19.0,11.0,8.0,2.58,0.78,0.41,0.56,47.13,116.0,92.0,22.0,36.0,527.0,09-01 13:54:35,0
27.1,22.0,11.0,8.0,2.34,0.83,0.63,0.4,47.18,116.0,92.0,22.0,35.0,525.0,09-01 13:54:36,0
27.1,20.0,11.0,8.0,2.09,1.27,0.32,0.49,47.19,116.0,91.0,23.0,35.0,518.0,09-01 13:54:37,0
27.1,20.0,12.0,7.0,2.72,0.76,0.46,0.5,47.23,116.0,91.0,23.0,35.0,524.0,09-01 13:54:38,0
27.1,18.0,10.0,8.0,2.15,0.94,0.59,0.35,47.19,116.0,91.0,22.0,36.0,520.0,09-01 13:54:39,0
27.1,21.0,12.0,9.0,2.18,1.23,0.29,0.53,47.11,116.0,91.0,23.0,36.0,529.0,09-01 13:54:40,0
27.1,20.0,12.0,8.0,2.76,0.65,0.51,0.48,47.03,116.0,91.0,23.0,35.0,528.0,09-01 13:54:41,0
27.1,19.0,12.0,7.0,2.07,0.99,0.53,0.36,47.01,116.0,91.0,22.0,36.0,521.0,09-01 13:54:42,0
27.1,21.0,11.0,7.0,2.24,1.2,0.29,0.53,47.15,116.0,92.0,22.0,35.0,526.0,09-01 13:54:43,0
27.1,20.0,11.0,8.0,2.67,0.66,0.57,0.43,47.16,116.0,92.0,23.0,35.0,512.0,09-01 13:54:44,0
27.1,21.0,11.0,8.0,1.95,1.07,0.5,0.38,47.2,116.0,91.0,23.0,36.0,512.0,09-01 13:54:45,0
27.1,20.0,12.0,8.0,2.39,1.08,0.34,0.58,47.22,116.0,91.0,22.0,36.0,519.0,09-01 13:54:46,0
27.1,20.0,11.0,8.0,2.55,0.75,0.56,0.37,47.21,116.0,92.0,22.0,36.0,513.0,09-01 13:54:47,0
27.1,19.0,10.0,8.0,1.94,1.2,0.4,0.44,47.2,116.0,91.0,22.0,36.0,518.0,09-01 13:54:48,0
27.1,20.0,11.0,8.0,2.52,1.01,0.33,0.57,47.26,116.0,92.0,23.0,35.0,528.0,09-01 13:54:49,0
27.1,20.0,12.0,9.0,2.51,0.78,0.62,0.36,47.24,116.0,92.0,23.0,36.0,514.0,09-01 13:54:50,0
27.1,20.0,11.0,8.0,2.01,1.15,0.32,0.47,47.2,116.0,92.0,22.0,35.0,517.0,09-01 13:54:51,0
27.1,20.0,11.0,8.0,2.66,0.86,0.41,0.56,47.16,116.0,92.0,23.0,35.0,526.0,09-01 13:54:52,0
27.1,21.0,12.0,9.0,2.33,0.81,0.61,0.39,47.13,116.0,92.0,23.0,36.0,518.0,09-01 13:54:53,0
27.1,21.0,11.0,8.0,2.08,1.19,0.31,0.47,47.12,116.0,92.0,22.0,35.0,517.0,09-01 13:54:54,0
27.1,19.0,11.0,9.0,2.73,0.74,0.48,0.52,47.17,116.0,92.0,22.0,36.0,521.0,09-01 13:54:55,0
27.1,20.0,11.0,9.0,2.16,0.88,0.61,0.34,47.16,116.0,92.0,22.0,36.0,526.0,09-01 13:54:56,0
27.1,20.0,11.0,8.0,2.14,1.24,0.32,0.5,47.11,116.0,92.0,23.0,36.0,515.0,09-01 13:54:57,0
27.1,19.0,10.0,8.0,2.71,0.75,0.44,0.53,47.11,116.0,92.0,22.0,36.0,522.0,09-01 13:54:58,0
27.1,20.0,12.0,8.0,1.95,1.25,0.35,0.44,47.11,116.0,92.0,22.0,35.0,520.0,09-01 13:54:59,0
27.1,20.0,10.0,9.0,2.49,0.95,0.33,0.56,47.24,116.0,92.0,22.0,36.0,514.0,09-01 13:55:00,0
27.1,20.0,10.0,8.0,2.52,0.75,0.6,0.34,47.19,116.0,92.0,22.0,35.0,524.0,09-01 13:55:01,0
27.1,20.0,11.0,8.0,1.95,1.14,0.36,0.43,47.23,116.0,91.0,23.0,36.0,529.0,09-01 13:55:02,0
27.1,20.0,10.0,8.0,2.57,0.89,0.38,0.56,47.11,116.0,91.0,23.0,35.0,511.0,09-01 13:55:03,0
27.1,21.0,10.0,8.0,2.36,0.78,0.64,0.34,46.96,116.0,91.0,23.0,35.0,527.0,09-01 13:55:04,0
27.1,20.0,11.0,8.0,2.08,1.23,0.34,0.46,46.97,116.0,91.0,22.0,36.0,521.0,09-01 13:55:05,0
27.1,20.0,11.0,8.0,2.63,0.84,0.43,0.55,46.95,116.0,91.0,23.0,36.0,520.0,09-01 13:55:06,0
27.1,20.0,11.0,8.0,2.22,0.86,0.57,0.35,46.9,116.0,91.0,22.0,36.0,519.0,09-01 13:55:07,0
27.1,20.0,10.0,7.0,2.12,1.25,0.32,0.5,46.9,116.0,92.0,22.0,36.0,521.0,09-01 13:55:08,0
27.1,20.0,12.0,8.0,2.74,0.72,0.46,0.5,46.93,116.0,93.0,23.0,35.0,530.0,09-01 13:55:09,0
27.1,20.0,12.0,8.0,2.12,0.94,0.54,0.35,46.89,116.0,91.0,22.0,35.0,519.0,09-01 13:55:10,0
27.1,21.0,11.0,8.0,2.17,1.21,0.28,0.55,46.88,116.0,92.0,22.0,35.0,519.0,09-01 13:55:11,0
27.1,20.0,11.0,9.0,2.78,0.71,0.53,0.47,46.86,116.0,92.0,22.0,35.0,519.0,09-01 13:55:12,0
27.1,21.0,11.0,8.0,1.95,1.02,0.49,0.41,46.9,116.0,92.0,22.0,36.0,519.0,09-01 13:55:13,0
27.1,20.0,11.0,8.0,2.38,1.12,0.29,0.56,46.93,116.0,92.0,22.0,36.0,515.0,09-01 13:55:14,0
27.1,20.0,11.0,8.0,2.66,0.66,0.58,0.41,46.93,116.0,92.0,23.0,36.0,520.0,09-01 13:55:15,0
27.1,19.0,12.0,8.0,2.01,1.11,0.4,0.39,47.07,116.0,92.0,22.0,35.0,516.0,09-01 13:55:16,0
27.1,19.0,12.0,7.0,2.43,1.01,0.36,0.57,47.04,116.0,92.0,23.0,36.0,515.0,09-01 13:55:17,0
27.1,21.0,11.0,8.0,2.6,0.71,0.64,0.36,47.09,116.0,92.0,23.0,35.0,524.0,09-01 13:55:18,0
27.1,20.0,11.0,8.0,1.95,1.17,0.39,0.43,47.03,116.0,92.0,23.0,35.0,518.0,09-01 13:55:19,0
27.1,19.0,10.0,8.0,2.51,0.92,0.38,0.56,46.99,116.0,92.0,22.0,36.0,521.0,09-01 13:55:20,0
27.1,20.0,11.0,8.0,2.36,0.82,0.58,0.33,46.89,116.0,92.0,22.0,35.0,524.0,09-01 13:55:21,0
27.1,20.0,10.0,8.0,1.98,1.27,0.3,0.48,46.89,116.0,92.0,22.0,36.0,525.0,09-01 13:55:22,0
27.1,20.0,11.0,8.0,2.68,0.87,0.41,0.55,46.94,116.0,92.0,22.0,35.0,528.0,09-01 13:55:23,0
27.1,20.0,10.0,8.0,2.24,0.85,0.6,0.35,46.96,116.0,92.0,23.0,36.0,529.0,09-01 13:55:24,0
27.03,20.0,10.0,8.0,2.14,1.21,0.27,0.51,46.85,116.0,92.0,23.0,36.0,513.0,09-01 13:55:25,0
27.0,21.0,11.0,7.0,2.75,0.72,0.49,0.49,46.87,116.0,92.0,22.0,36.0,512.0,09-01 13:55:26,0
27.1,20.0,11.0,9.0,2.03,0.95,0.54,0.37,46.88,116.0,92.0,23.0,36.0,518.0,09-01 13:55:27,0
27.1,19.0,11.0,8.0,2.26,1.18,0.29,0.54,46.86,116.0,92.0,23.0,35.0,527.0,09-01 13:55:28,0
27.1,20.0,11.0,8.0,2.78,0.8,0.45,0.56,46.91,116.0,92.0,23.0,36.0,527.0,09-01 13:55:29,0
27.1,21.0,10.0,7.0,2.05,1.27,0.32,0.45,46.91,116.0,92.0,23.0,36.0,526.0,09-01 13:55:30,0
27.1,19.0,12.0,8.0,2.57,0.87,0.4,0.56,46.88,116.0,92.0,22.0,35.0,514.0,09-01 13:55:31,0
27.1,20.0,12.0,8.0,2.4,0.79,0.65,0.36,46.86,116.0,92.0,22.0,36.0,527.0,09-01 13:55:32,0
27.1,19.0,11.0,8.0,2.08,1.23,0.33,0.47,46.86,116.0,92.0,22.0,35.0,521.0,09-01 13:55:33,0
27.1,20.0,12.0,8.0,2.63,0.76,0.43,0.55,46.89,116.0,92.0,22.0,35.0,521.0,09-01 13:55:34,0
27.1,20.0,11.0,8.0,2.21,0.89,0.59,0.32,46.94,116.0,92.0,23.0,36.0,511.0,09-01 13:55:35,0
27.1,20.0,11.0,9.0,2.06,1.25,0.31,0.5,46.98,116.0,92.0,22.0,35.0,512.0,09-01 13:55:36,0
27.1,20.0,11.0,8.0,2.65,0.77,0.44,0.5,46.94,116.0,92.0,23.0,36.0,514.0,09-01 13:55:37,0
27.1,20.0,11.0,8.0,2.06,0.96,0.56,0.35,46.87,116.0,92.0,23.0,35.0,525.0,09-01 13:55:38,0
27.0,20.0,11.0,9.0,2.23,1.21,0.27,0.55,46.82,116.0,92.0,22.0,35.0,523.0,09-01 13:55:39,0
27.04,21.0,11.0,8.0,2.69,0.73,0.51,0.43,46.88,116.0,92.0,22.0,36.0,518.0,09-01 13:55:40,0
27.1,20.0,11.0,8.0,1.94,1.01,0.48,0.38,46.85,116.0,92.0,22.0,35.0,518.0,09-01 13:55:41,0
27.1,19.0,11.0,8.0,2.33,1.14,0.3,0.56,46.87,116.0,92.0,22.0,36.0,524.0,09-01 13:55:42,0
27.1,19.0,11.0,7.0,2.65,0.69,0.57,0.41,46.87,116.0,92.0,23.0,35.0,526.0,09-01 13:55:43,0
27.1,20.0,12.0,7.0,1.96,1.07,0.39,0.43,46.85,116.0,92.0,23.0,36.0,530.0,09-01 13:55:44,0
27.1,20.0,10.0,8.0,2.4,0.95,0.36,0.56,46.86,116.0,92.0,23.0,36.0,526.0,09-01 13:55:45,0
27.1,19.0,11.0,8.0,2.56,0.71,0.62,0.38,46.89,116.0,92.0,22.0,35.0,513.0,09-01 13:55:46,0
27.1,19.0,10.0,8.0,1.92,1.19,0.39,0.42,46.91,116.0,92.0,22.0,36.0,525.0,09-01 13:55:47,0
27.1,21.0,11.0,9.0,2.55,0.86,0.4,0.57,46.96,116.0,92.0,23.0,35.0,513.0,09-01 13:55:48,0
27.1,19.0,11.0,8.0,2.39,0.78,0.6,0.33,46.9,116.0,91.0,22.0,35.0,514.0,09-01 13:55:49,0
27.1,19.0,11.0,7.0,1.97,1.24,0.34,0.46,46.86,116.0,91.0,23.0,35.0,524.0,09-01 13:55:50,0
27.1,20.0,11.0,7.0,2.61,0.77,0.39,0.52,46.84,116.0,92.0,22.0,36.0,526.0,09-01 13:55:51,0
27.1,19.0,12.0,9.0,2.17,0.88,0.58,0.37,46.82,116.0,91.0,23.0,36.0,523.0,09-01 13:55:52,0
27.1,20.0,11.0,8.0,2.14,1.23,0.26,0.5,46.82,116.0,91.0,22.0,35.0,529.0,09-01 13:55:53,0
27.1,20.0,11.0,8.0,2.64,0.7,0.48,0.49,46.85,116.0,91.0,23.0,35.0,528.0,09-01 13:55:54,0
27.1,21.0,11.0,8.0,2.16,0.89,0.57,0.36,46.96,116.0,92.0,23.0,36.0,515.0,09-01 13:55:55,0
27.1,20.0,12.0,9.0,2.15,1.21,0.29,0.52,46.95,116.0,91.0,22.0,35.0,528.0,09-01 13:55:56,0
27.1,20.0,12.0,8.0,2.71,0.71,0.53,0.46,46.96,116.0,92.0,22.0,36.0,530.0,09-01 13:55:57,0
27.1,22.0,11.0,8.0,1.96,1.04,0.52,0.38,46.98,116.0,92.0,22.0,36.0,529.0,09-01 13:55:58,0
27.1,20.0,11.0,8.0,2.27,1.11,0.26,0.55,46.97,116.0,91.0,22.0,36.0,524.0,09-01 13:55:59,0
27.1,20.0,11.0,8.0,2.85,0.68,0.43,0.52,47.06,116.0,91.0,23.0,35.0,527.0,09-01 13:56:00,0
27.2,20.0,11.0,8.0,2.02,1.24,0.26,0.49,47.05,116.0,91.0,22.0,36.0,528.0,09-01 13:56:01,0
27.18,21.0,11.0,8.0,2.72,0.82,0.43,0.53,47.09,116.0,92.0,22.0,36.0,529.0,09-01 13:56:02,0
27.1,19.0,12.0,9.0,2.26,0.8,0.61,0.36,47.09,116.0,92.0,22.0,35.0,523.0,09-01 13:56:03,0
27.16,20.0,10.0,9.0,2.12,1.24,0.29,0.47,47.12,116.0,92.0,22.0,36.0,517.0,09-01 13:56:04,0
27.2,20.0,11.0,8.0,2.68,0.75,0.48,0.51,47.09,116.0,92.0,22.0,35.0,518.0,09-01 13:56:05,0
27.11,20.0,11.0,8.0,2.08,0.96,0.53,0.35,47.06,116.0,91.0,23.0,35.0,519.0,09-01 13:56:06,0
27.1,21.0,11.0,8.0,2.15,1.19,0.24,0.53,47.05,116.0,91.0,23.0,35.0,518.0,09-01 13:56:07,0
27.1,21.0,11.0,8.0,2.73,0.74,0.49,0.47,47.03,116.0,92.0,22.0,35.0,526.0,09-01 13:56:08,0
27.14,19.0,11.0,8.0,1.99,0.98,0.51,0.37,47.02,116.0,92.0,22.0,36.0,528.0,09-01 13:56:09,0
27.2,20.0,12.0,7.0,2.27,1.09,0.3,0.55,46.98,116.0,92.0,23.0,36.0,514.0,09-01 13:56:10,0
27.2,21.0,11.0,8.0,2.71,0.62,0.59,0.43,46.97,116.0,91.0,23.0,35.0,519.0,09-01 13:56:11,0
27.2,20.0,10.0,9.0,1.97,1.07,0.48,0.38,47.01,116.0,91.0,22.0,36.0,525.0,09-01 13:56:12,0
27.11,20.0,11.0,8.0,2.37,1.05,0.32,0.57,47.07,116.0,92.0,22.0,36.0,520.0,09-01 13:56:13,0
27.12,21.0,11.0,8.0,2.58,0.73,0.59,0.37,47.08,116.0,92.0,22.0,36.0,515.0,09-01 13:56:14,0
27.2,19.0,11.0,7.0,1.92,1.13,0.36,0.43,47.1,116.0,92.0,23.0,36.0,520.0,09-01 13:56:15,0
27.2,21.0,11.0,8.0,2.52,0.92,0.38,0.56,47.08,116.0,92.0,23.0,36.0,519.0,09-01 13:56:16,0
27.2,22.0,10.0,8.0,2.4,0.74,0.59,0.35,46.99,116.0,92.0,23.0,36.0,523.0,09-01 13:56:17,0
27.28,19.0,11.0,8.0,2.02,1.23,0.3,0.46,46.91,116.0,92.0,23.0,36.0,521.0,09-01 13:56:18,0
27.29,21.0,11.0,8.0,2.57,0.81,0.42,0.55,46.81,116.0,92.0,22.0,36.0,513.0,09-01 13:56:19,0
27.2,19.0,11.0,8.0,2.28,0.84,0.56,0.35,46.86,116.0,91.0,23.0,35.0,528.0,09-01 13:56:20,0
27.25,20.0,11.0,8.0,2.05,1.26,0.29,0.49,46.88,116.0,92.0,23.0,35.0,524.0,09-01 13:56:21,0
27.3,21.0,11.0,8.0,2.66,0.78,0.41,0.5,46.88,116.0,92.0,23.0,35.0,519.0,09-01 13:56:22,0
27.3,19.0,11.0,9.0,2.13,0.94,0.57,0.35,46.9,116.0,92.0,22.0,36.0,513.0,09-01 13:56:23,0
27.31,20.0,11.0,8.0,2.17,1.18,0.24,0.53,46.92,116.0,92.0,23.0,35.0,518.0,09-01 13:56:24,0
27.4,20.0,11.0,7.0,2.74,0.71,0.5,0.45,46.87,116.0,92.0,22.0,36.0,513.0,09-01 13:56:25,0
27.37,20.0,11.0,8.0,2.03,0.95,0.53,0.36,46.8,116.0,92.0,23.0,35.0,525.0,09-01 13:56:26,0
27.3,22.0,11.0,8.0,2.29,1.13,0.3,0.52,46.82,116.0,91.0,22.0,36.0,530.0,09-01 13:56:27,0
27.3,21.0,10.0,7.0,2.68,0.65,0.59,0.43,46.71,116.0,92.0,23.0,35.0,511.0,09-01 13:56:28,0
27.3,20.0,11.0,8.0,1.92,1.12,0.44,0.39,46.67,116.0,92.0,22.0,36.0,530.0,09-01 13:56:29,0
27.3,20.0,11.0,9.0,2.4,1.05,0.35,0.56,46.71,116.0,92.0,22.0,36.0,527.0,09-01 13:56:30,0
27.3,20.0,11.0,8.0,2.3,0.8,0.43,0.49,46.69,116.0,91.0,23.0,35.0,525.0,09-01 13:56:31,0
27.3,21.0,12.0,8.0,2.01,1.19,0.29,0.49,46.64,116.0,91.0,23.0,35.0,523.0,09-01 13:56:32,0
27.3,21.0,11.0,9.0,2.68,0.77,0.42,0.51,46.64,116.0,92.0,22.0,36.0,526.0,09-01 13:56:33,0
27.3,20.0,11.0,8.0,2.16,0.85,0.6,0.35,46.69,116.0,92.0,23.0,36.0,523.0,09-01 13:56:34,0
27.3,20.0,11.0,8.0,2.14,1.19,0.28,0.48,46.75,116.0,92.0,23.0,35.0,527.0,09-01 13:56:35,0
27.3,20.0,10.0,8.0,2.73,0.71,0.51,0.49,46.77,116.0,92.0,23.0,35.0,516.0,09-01 13:56:36,0
27.3,20.0,11.0,8.0,2.05,0.95,0.56,0.33,46.77,116.0,92.0,23.0,35.0,521.0,09-01 13:56:37,0
27.3,21.0,11.0,8.0,2.14,1.21,0.29,0.53,46.78,116.0,92.0,23.0,35.0,516.0,09-01 13:56:38,0
