NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,21.0,12.0,7.0,2.68,1.29,0.44,0.62,46.99,81.0,16.0,22.0,36.0,529.0,08-27 04:03:09,0
27.0,20.0,11.0,7.0,2.76,1.14,0.48,0.59,47.01,81.0,16.0,22.0,35.0,528.0,08-27 04:03:10,0
27.0,20.0,12.0,8.0,2.93,0.93,0.54,0.61,47.02,81.0,16.0,23.0,36.0,522.0,08-27 04:03:11,0
27.0,19.0,12.0,9.0,2.34,1.17,0.57,0.55,47.03,81.0,16.0,23.0,35.0,511.0,08-27 04:03:12,0
27.0,20.0,12.0,9.0,2.48,1.45,0.43,0.64,47.03,81.0,16.0,22.0,36.0,513.0,08-27 04:03:13,0
27.0,20.0,12.0,8.0,3.07,0.9,0.57,0.59,47.04,81.0,16.0,22.0,36.0,516.0,08-27 04:03:14,0
27.0,19.0,12.0,8.0,2.21,1.34,0.53,0.57,47.01,81.0,16.0,23.0,36.0,524.0,08-27 04:03:15,0
27.0,20.0,12.0,9.0,2.6,1.36,0.45,0.65,47.04,80.0,16.0,23.0,35.0,526.0,08-27 04:03:16,0
27.0,21.0,12.0,8.0,2.99,0.9,0.58,0.58,47.12,81.0,16.0,23.0,35.0,516.0,08-27 04:03:17,0
27.0,20.0,12.0,9.0,2.12,1.38,0.49,0.58,47.12,81.0,16.0,23.0,35.0,512.0,08-27 04:03:18,0
27.0,20.0,12.0,9.0,2.76,1.24,0.47,0.65,47.34,80.0,16.0,23.0,35.0,519.0,08-27 04:03:19,0
27.0,20.0,11.0,8.0,2.82,0.9,0.6,0.55,47.28,79.0,30.0,22.0,35.0,514.0,08-27 04:03:20,0
27.0,21.0,12.0,9.0,2.12,1.45,0.48,0.59,47.29,78.0,30.0,22.0,35.0,518.0,08-27 04:03:21,0
