NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.7,19.0,11.0,10.0,2.31,0.9,0.43,0.44,47.17,116.0,92.0,23.0,35.0,523.0,09-01 13:44:25,0
27.7,21.0,10.0,8.0,2.16,0.86,0.36,0.44,47.09,116.0,92.0,23.0,35.0,518.0,09-01 13:44:26,0
27.7,21.0,11.0,7.0,2.6,0.85,0.43,0.48,47.04,116.0,94.0,22.0,36.0,516.0,09-01 13:44:27,0
27.7,20.0,11.0,7.0,2.33,0.8,0.54,0.38,46.92,116.0,94.0,22.0,36.0,518.0,09-01 13:44:28,0
27.7,21.0,13.0,8.0,2.6,0.88,0.4,0.52,46.94,116.0,94.0,23.0,35.0,511.0,09-01 13:44:29,0
27.55,20.0,12.0,8.0,2.63,0.64,0.56,0.41,46.87,116.0,94.0,22.0,36.0,524.0,09-01 13:44:30,0
27.3,20.0,11.0,8.0,2.0,1.12,0.41,0.41,46.86,116.0,94.0,23.0,36.0,514.0,09-01 13:44:31,0
27.3,20.0,11.0,8.0,2.41,0.98,0.34,0.55,46.94,116.0,91.0,22.0,35.0,523.0,09-01 13:44:32,0
27.3,21.0,10.0,8.0,2.58,0.74,0.59,0.36,46.99,116.0,91.0,23.0,36.0,514.0,09-01 13:44:33,0
27.3,20.0,11.0,8.0,1.94,1.2,0.36,0.44,46.95,116.0,91.0,23.0,35.0,521.0,09-01 13:44:34,0
27.3,20.0,11.0,7.0,2.59,0.94,0.38,0.56,46.94,116.0,94.0,22.0,35.0,527.0,09-01 13:44:35,0
27.3,19.0,11.0,8.0,2.47,0.79,0.61,0.4,46.91,116.0,92.0,22.0,36.0,514.0,09-01 13:44:36,0
27.53,20.0,11.0,8.0,2.0,1.16,0.3,0.46,46.98,116.0,92.0,22.0,35.0,517.0,09-01 13:44:37,0
27.61,20.0,11.0,9.0,2.01,1.08,0.42,0.41,47.35,116.0,92.0,22.0,35.0,526.0,09-01 13:44:38,0
27.7,20.0,10.0,9.0,2.02,0.99,0.54,0.35,47.72,116.0,92.0,22.0,35.0,518.0,09-01 13:44:39,0
27.6,20.0,10.0,8.0,2.14,1.2,0.28,0.5,48.01,116.0,92.0,22.0,36.0,516.0,09-01 13:44:40,0
27.3,19.0,11.0,8.0,2.72,0.71,0.42,0.48,48.26,116.0,91.0,22.0,35.0,528.0,09-01 13:44:41,0
27.3,19.0,11.0,8.0,2.06,0.97,0.57,0.35,48.46,116.0,91.0,23.0,36.0,517.0,09-01 13:44:42,0
