NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.02,20.0,12.0,9.0,2.02,0.9,0.68,0.46,43.23,121.0,2.0,23.0,35.0,516.0,09-20 03:07:05,0
27.0,21.0,12.0,8.0,2.33,0.81,0.62,0.49,43.27,126.0,2.0,22.0,35.0,514.0,09-20 03:07:06,0
27.0,20.0,12.0,9.0,1.98,0.92,0.67,0.47,43.25,143.0,119.0,23.0,35.0,526.0,09-20 03:07:07,0
27.04,20.0,12.0,8.0,2.11,1.0,0.56,0.55,43.28,143.0,119.0,22.0,35.0,523.0,09-20 03:07:08,0
27.1,20.0,12.0,8.0,2.32,0.79,0.67,0.49,43.25,120.0,1.0,22.0,36.0,511.0,09-20 03:07:09,0
27.1,19.0,11.0,7.0,1.98,0.93,0.65,0.48,43.37,120.0,1.0,23.0,36.0,511.0,09-20 03:07:10,0
27.1,20.0,12.0,8.0,2.12,0.93,0.57,0.53,43.32,120.0,1.0,23.0,35.0,525.0,09-20 03:07:11,0
27.1,20.0,12.0,8.0,2.28,0.76,0.67,0.48,43.27,120.0,1.0,23.0,35.0,515.0,09-20 03:07:12,0
27.1,20.0,12.0,8.0,1.9,0.98,0.62,0.47,43.31,120.0,0.0,22.0,36.0,513.0,09-20 03:07:13,0
27.1,20.0,12.0,8.0,2.26,0.94,0.59,0.58,43.34,120.0,0.0,22.0,36.0,513.0,09-20 03:07:14,0
27.1,21.0,12.0,8.0,2.24,0.83,0.7,0.46,43.32,120.0,0.0,22.0,36.0,518.0,09-20 03:07:15,0
27.1,20.0,12.0,8.0,2.01,1.03,0.57,0.47,43.3,120.0,0.0,22.0,35.0,528.0,09-20 03:07:16,0
27.1,20.0,11.0,8.0,2.22,0.79,0.63,0.55,43.33,143.0,119.0,23.0,36.0,516.0,09-20 03:07:17,0
27.11,20.0,12.0,8.0,2.11,0.88,0.7,0.45,43.39,120.0,2.0,23.0,35.0,521.0,09-20 03:07:18,0
27.2,20.0,11.0,8.0,1.98,1.0,0.54,0.52,43.35,143.0,119.0,22.0,35.0,519.0,09-20 03:07:19,0
27.14,21.0,12.0,8.0,2.33,0.78,0.65,0.5,43.27,143.0,119.0,23.0,36.0,518.0,09-20 03:07:20,0
27.1,21.0,12.0,8.0,1.99,0.91,0.68,0.45,43.21,143.0,119.0,23.0,36.0,518.0,09-20 03:07:21,0
27.1,21.0,12.0,8.0,2.08,1.06,0.56,0.54,43.27,143.0,119.0,23.0,35.0,517.0,09-20 03:07:22,0
27.11,20.0,13.0,9.0,2.33,0.78,0.66,0.51,43.1,120.0,0.0,23.0,35.0,527.0,09-20 03:07:23,0
27.2,20.0,13.0,8.0,1.98,0.96,0.65,0.49,43.15,143.0,119.0,23.0,36.0,529.0,09-20 03:07:24,0
27.16,21.0,12.0,8.0,2.16,1.01,0.56,0.52,43.11,120.0,0.0,22.0,35.0,525.0,09-20 03:07:25,0
27.1,19.0,12.0,8.0,2.26,0.79,0.66,0.47,43.15,121.0,2.0,22.0,36.0,516.0,09-20 03:07:26,0
27.17,19.0,11.0,8.0,1.96,0.93,0.59,0.49,43.19,143.0,119.0,22.0,35.0,520.0,09-20 03:07:27,0
27.2,19.0,12.0,9.0,2.18,0.9,0.59,0.55,43.23,143.0,119.0,23.0,36.0,521.0,09-20 03:07:28,0
27.2,20.0,12.0,8.0,2.2,0.83,0.7,0.46,43.41,143.0,119.0,22.0,35.0,525.0,09-20 03:07:29,0
27.2,20.0,12.0,8.0,2.0,1.02,0.59,0.52,43.31,143.0,119.0,23.0,36.0,519.0,09-20 03:07:30,0
27.2,21.0,12.0,8.0,2.32,0.84,0.6,0.55,43.29,143.0,119.0,23.0,35.0,511.0,09-20 03:07:31,0
27.14,20.0,12.0,9.0,2.14,0.83,0.7,0.45,43.23,143.0,119.0,23.0,35.0,522.0,09-20 03:07:32,0
27.1,20.0,12.0,7.0,2.0,1.06,0.56,0.52,43.25,143.0,119.0,23.0,36.0,521.0,09-20 03:07:33,0
27.1,21.0,12.0,8.0,2.29,0.79,0.59,0.51,43.27,143.0,119.0,22.0,35.0,519.0,09-20 03:07:34,0
27.11,20.0,13.0,9.0,2.02,0.9,0.72,0.45,43.26,143.0,119.0,23.0,35.0,514.0,09-20 03:07:35,0
27.2,18.0,12.0,9.0,2.04,0.99,0.53,0.55,43.25,143.0,119.0,22.0,36.0,520.0,09-20 03:07:36,0
27.16,19.0,13.0,8.0,2.33,0.77,0.64,0.51,43.27,143.0,119.0,22.0,36.0,519.0,09-20 03:07:37,0
27.1,20.0,12.0,8.0,1.99,0.9,0.65,0.45,43.35,143.0,119.0,23.0,35.0,521.0,09-20 03:07:38,0
27.18,20.0,13.0,8.0,2.05,1.05,0.56,0.45,43.47,143.0,119.0,22.0,36.0,516.0,09-20 03:07:39,0
27.14,21.0,13.0,7.0,2.02,1.05,0.56,0.48,43.5,143.0,119.0,23.0,35.0,512.0,09-20 03:07:40,0
27.1,21.0,13.0,7.0,1.99,1.06,0.56,0.51,43.92,119.0,1.0,22.0,35.0,521.0,09-20 03:07:41,0
27.1,20.0,12.0,7.0,2.24,0.88,0.58,0.53,44.06,77.0,82.0,23.0,36.0,528.0,09-20 03:07:42,0
27.1,21.0,13.0,9.0,2.1,0.86,0.72,0.45,44.33,95.0,75.0,23.0,36.0,520.0,09-20 03:07:43,0
27.1,20.0,12.0,9.0,2.02,0.98,0.54,0.52,44.37,95.0,75.0,23.0,36.0,520.0,09-20 03:07:44,0
27.1,20.0,12.0,7.0,2.31,0.79,0.62,0.53,44.53,143.0,119.0,23.0,36.0,528.0,09-20 03:07:45,0
