NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.2,20.0,12.0,8.0,2.72,0.8,0.5,0.38,45.15,0.0,119.0,22.0,36.0,524.0,08-27 01:01:00,0
27.2,20.0,12.0,9.0,2.29,1.14,0.5,0.33,45.2,3.0,119.0,22.0,35.0,521.0,08-27 01:01:01,0
27.2,20.0,11.0,7.0,2.64,0.85,0.51,0.38,45.09,0.0,118.0,23.0,35.0,528.0,08-27 01:01:02,0
27.2,20.0,12.0,8.0,2.07,1.14,0.51,0.34,44.92,3.0,119.0,23.0,36.0,514.0,08-27 01:01:03,0
27.2,19.0,12.0,8.0,2.41,1.07,0.44,0.4,44.64,2.0,119.0,23.0,35.0,517.0,08-27 01:01:04,0
27.2,19.0,12.0,8.0,2.24,1.0,0.57,0.32,44.76,0.0,119.0,23.0,36.0,527.0,08-27 01:01:05,0
27.2,20.0,12.0,8.0,2.22,1.23,0.44,0.4,44.73,0.0,119.0,22.0,36.0,529.0,08-27 01:01:06,0
27.2,19.0,12.0,8.0,2.6,0.83,0.54,0.36,44.66,0.0,119.0,23.0,35.0,523.0,08-27 01:01:07,0
27.2,20.0,11.0,10.0,2.08,1.21,0.48,0.37,44.55,3.0,119.0,23.0,36.0,512.0,08-27 01:01:08,0
27.21,21.0,13.0,9.0,2.56,0.93,0.5,0.39,44.41,0.0,119.0,22.0,36.0,528.0,08-27 01:01:09,0
27.3,19.0,11.0,8.0,2.17,1.04,0.54,0.32,44.38,3.0,119.0,23.0,35.0,524.0,08-27 01:01:10,0
27.24,19.0,12.0,7.0,2.32,1.18,0.44,0.4,44.51,3.0,119.0,23.0,35.0,519.0,08-27 01:01:11,0
27.2,19.0,12.0,6.0,2.52,0.91,0.59,0.32,44.55,3.0,119.0,22.0,35.0,520.0,08-27 01:01:12,0
27.12,20.0,12.0,8.0,2.06,1.27,0.44,0.38,44.54,3.0,119.0,23.0,35.0,515.0,08-27 01:01:13,0
27.11,20.0,12.0,8.0,2.59,0.88,0.51,0.36,44.54,3.0,119.0,22.0,35.0,524.0,08-27 01:01:14,0
27.2,20.0,13.0,8.0,2.01,1.17,0.5,0.37,44.22,3.0,119.0,22.0,36.0,524.0,08-27 01:01:15,0
27.2,20.0,12.0,8.0,2.52,1.06,0.48,0.4,44.18,3.0,119.0,23.0,35.0,522.0,08-27 01:01:16,0
27.2,19.0,12.0,8.0,2.33,0.92,0.58,0.31,44.32,0.0,118.0,22.0,35.0,513.0,08-27 01:01:17,0
27.13,20.0,12.0,8.0,2.23,1.28,0.44,0.39,44.28,0.0,118.0,23.0,35.0,529.0,08-27 01:01:18,0
27.11,20.0,11.0,9.0,2.57,0.83,0.56,0.36,44.21,3.0,119.0,23.0,35.0,521.0,08-27 01:01:19,0
27.2,20.0,12.0,9.0,2.02,1.23,0.48,0.38,44.23,3.0,119.0,23.0,36.0,524.0,08-27 01:01:20,0
27.2,20.0,12.0,7.0,2.54,1.01,0.49,0.39,44.23,3.0,119.0,22.0,35.0,529.0,08-27 01:01:21,0
27.2,21.0,12.0,9.0,2.13,1.04,0.54,0.32,44.1,3.0,119.0,22.0,36.0,527.0,08-27 01:01:22,0
27.13,20.0,12.0,8.0,2.38,1.22,0.44,0.4,44.05,3.0,119.0,22.0,36.0,528.0,08-27 01:01:23,0
27.1,20.0,11.0,8.0,2.43,0.9,0.56,0.33,44.09,3.0,119.0,23.0,35.0,529.0,08-27 01:01:24,0
27.1,20.0,11.0,7.0,2.16,1.26,0.45,0.4,44.1,0.0,119.0,23.0,36.0,519.0,08-27 01:01:25,0
27.12,20.0,11.0,8.0,2.66,0.87,0.54,0.37,44.22,3.0,119.0,23.0,36.0,514.0,08-27 01:01:26,0
27.2,20.0,11.0,7.0,2.07,1.16,0.52,0.36,44.32,3.0,119.0,23.0,36.0,514.0,08-27 01:01:27,0
27.14,20.0,12.0,7.0,2.5,1.11,0.46,0.4,44.36,3.0,119.0,22.0,36.0,515.0,08-27 01:01:28,0
27.1,20.0,11.0,8.0,2.3,0.95,0.56,0.31,44.52,3.0,119.0,22.0,35.0,521.0,08-27 01:01:29,0
27.18,20.0,12.0,8.0,2.23,1.24,0.44,0.4,44.64,15.0,78.0,23.0,36.0,526.0,08-27 01:01:30,0
27.18,20.0,12.0,8.0,2.57,0.82,0.57,0.36,44.68,15.0,78.0,22.0,36.0,523.0,08-27 01:01:31,0
27.1,20.0,12.0,8.0,2.04,1.17,0.48,0.38,44.69,3.0,119.0,22.0,36.0,515.0,08-27 01:01:32,0
27.1,19.0,12.0,9.0,2.59,0.96,0.49,0.39,44.76,0.0,119.0,23.0,35.0,513.0,08-27 01:01:33,0
27.1,20.0,12.0,6.0,2.6,0.8,0.57,0.3,44.65,3.0,119.0,22.0,35.0,511.0,08-27 01:01:34,0
27.1,21.0,13.0,8.0,2.55,0.8,0.5,0.4,44.58,3.0,119.0,23.0,36.0,513.0,08-27 01:01:35,0
27.1,20.0,12.0,8.0,2.24,0.99,0.56,0.31,44.51,16.0,78.0,22.0,36.0,512.0,08-27 01:01:36,0
27.1,21.0,12.0,10.0,2.26,1.2,0.42,0.4,44.48,16.0,78.0,22.0,36.0,524.0,08-27 01:01:37,0
27.1,20.0,12.0,8.0,2.5,0.88,0.55,0.32,44.44,14.0,78.0,22.0,36.0,524.0,08-27 01:01:38,0
27.1,20.0,12.0,9.0,2.04,1.24,0.44,0.38,44.44,14.0,78.0,23.0,36.0,530.0,08-27 01:01:39,0
27.1,20.0,12.0,8.0,2.68,0.89,0.53,0.38,44.44,14.0,78.0,22.0,35.0,519.0,08-27 01:01:40,0
27.1,20.0,12.0,7.0,2.07,1.1,0.51,0.36,44.5,16.0,78.0,22.0,35.0,519.0,08-27 01:01:41,0
27.1,19.0,11.0,8.0,2.38,1.15,0.48,0.4,44.59,15.0,78.0,23.0,36.0,522.0,08-27 01:01:42,0
27.07,21.0,12.0,8.0,2.41,0.91,0.54,0.32,44.55,15.0,78.0,23.0,36.0,524.0,08-27 01:01:43,0
27.0,20.0,12.0,9.0,2.09,1.27,0.42,0.39,44.54,15.0,78.0,22.0,35.0,529.0,08-27 01:01:44,0
27.0,20.0,13.0,8.0,2.61,0.87,0.54,0.34,44.5,15.0,78.0,22.0,36.0,513.0,08-27 01:01:45,0
27.0,20.0,12.0,7.0,2.0,1.18,0.49,0.38,44.49,15.0,78.0,22.0,36.0,525.0,08-27 01:01:46,0
27.18,20.0,12.0,8.0,2.57,1.0,0.49,0.39,44.51,15.0,78.0,23.0,35.0,524.0,08-27 01:01:47,0
27.17,20.0,13.0,8.0,2.22,0.97,0.57,0.3,44.56,15.0,78.0,22.0,35.0,517.0,08-27 01:01:48,0
27.1,20.0,12.0,8.0,2.26,1.24,0.44,0.4,44.48,15.0,78.0,23.0,36.0,514.0,08-27 01:01:49,0
27.03,20.0,11.0,9.0,2.51,0.88,0.56,0.33,44.44,15.0,77.0,22.0,36.0,516.0,08-27 01:01:50,0
27.0,19.0,12.0,8.0,2.01,1.26,0.45,0.39,44.51,15.0,78.0,22.0,35.0,512.0,08-27 01:01:51,0
27.09,20.0,12.0,6.0,2.61,0.91,0.51,0.38,44.55,15.0,78.0,22.0,35.0,527.0,08-27 01:01:52,0
27.1,20.0,12.0,8.0,2.09,1.02,0.51,0.34,44.5,15.0,78.0,22.0,36.0,518.0,08-27 01:01:53,0
27.1,20.0,13.0,7.0,2.47,1.11,0.47,0.4,44.51,15.0,78.0,22.0,36.0,516.0,08-27 01:01:54,0
27.1,20.0,12.0,8.0,2.36,0.89,0.57,0.31,44.54,15.0,78.0,22.0,36.0,514.0,08-27 01:01:55,0
27.1,20.0,13.0,8.0,2.1,1.24,0.44,0.39,44.59,14.0,78.0,23.0,36.0,524.0,08-27 01:01:56,0
27.1,20.0,11.0,8.0,2.63,0.83,0.53,0.36,44.57,15.0,78.0,23.0,36.0,523.0,08-27 01:01:57,0
