NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.1,20.0,12.0,8.0,2.33,0.8,0.44,0.3,46.2,0.0,119.0,23.0,36.0,529.0,08-26 16:25:30,0
27.1,19.0,11.0,8.0,2.39,0.9,0.56,0.3,46.12,0.0,119.0,23.0,36.0,521.0,08-26 16:25:31,0
27.1,19.0,12.0,9.0,2.06,1.01,0.55,0.34,45.94,0.0,119.0,23.0,36.0,511.0,08-26 16:25:32,0
27.1,20.0,12.0,9.0,2.11,1.09,0.47,0.4,45.96,0.0,119.0,22.0,36.0,515.0,08-26 16:25:33,0
27.1,19.0,12.0,8.0,2.42,0.87,0.56,0.33,46.03,0.0,119.0,23.0,35.0,512.0,08-26 16:25:34,0
27.1,21.0,12.0,9.0,1.97,1.01,0.52,0.3,46.19,0.0,119.0,23.0,36.0,514.0,08-26 16:25:35,0
27.1,19.0,12.0,7.0,2.2,1.09,0.52,0.4,46.28,0.0,119.0,23.0,36.0,517.0,08-26 16:25:36,0
27.1,20.0,12.0,8.0,2.27,0.86,0.56,0.32,46.26,0.0,119.0,23.0,36.0,520.0,08-26 16:25:37,0
27.1,20.0,12.0,10.0,2.0,1.11,0.5,0.34,46.25,0.0,119.0,22.0,36.0,526.0,08-26 16:25:38,0
27.1,21.0,12.0,8.0,2.19,1.0,0.53,0.39,46.24,0.0,119.0,22.0,35.0,520.0,08-26 16:25:39,0
27.1,20.0,13.0,8.0,2.21,0.92,0.56,0.3,46.22,0.0,119.0,22.0,36.0,527.0,08-26 16:25:40,0
27.08,20.0,12.0,9.0,1.99,1.11,0.49,0.37,46.21,0.0,119.0,23.0,36.0,519.0,08-26 16:25:41,0
27.0,19.0,12.0,7.0,2.31,0.92,0.54,0.39,46.2,0.0,119.0,22.0,35.0,519.0,08-26 16:25:42,0
27.0,20.0,14.0,8.0,2.3,0.83,0.56,0.3,46.23,0.0,119.0,22.0,36.0,516.0,08-26 16:25:43,0
27.04,20.0,13.0,8.0,2.28,0.82,0.56,0.33,46.27,130.0,78.0,23.0,36.0,520.0,08-26 16:25:44,0
27.09,20.0,12.0,8.0,2.25,0.81,0.56,0.36,46.92,130.0,78.0,23.0,36.0,530.0,08-26 16:25:45,0
27.1,20.0,12.0,9.0,2.08,0.99,0.55,0.3,47.26,130.0,73.0,23.0,35.0,511.0,08-26 16:25:46,0
27.1,20.0,12.0,8.0,2.06,1.16,0.46,0.4,47.39,129.0,81.0,23.0,35.0,527.0,08-26 16:25:47,0
27.06,20.0,11.0,7.0,2.3,0.88,0.54,0.34,47.4,130.0,73.0,23.0,36.0,519.0,08-26 16:25:48,0
27.0,20.0,12.0,8.0,1.93,1.06,0.53,0.34,47.44,129.0,75.0,23.0,35.0,529.0,08-26 16:25:49,0
27.0,20.0,12.0,8.0,2.15,1.01,0.46,0.4,47.46,0.0,119.0,23.0,35.0,511.0,08-26 16:25:50,0
27.0,20.0,12.0,8.0,2.33,0.88,0.56,0.32,47.55,0.0,119.0,22.0,35.0,521.0,08-26 16:25:51,0
27.0,19.0,12.0,7.0,1.98,1.04,0.5,0.3,47.6,0.0,119.0,22.0,35.0,518.0,08-26 16:25:52,0
27.0,20.0,12.0,8.0,2.22,1.05,0.51,0.4,47.58,0.0,119.0,22.0,36.0,515.0,08-26 16:25:53,0
27.0,21.0,12.0,8.0,2.2,0.87,0.56,0.31,47.49,0.0,119.0,22.0,35.0,528.0,08-26 16:25:54,0
27.0,20.0,12.0,7.0,1.94,1.12,0.49,0.34,47.48,0.0,119.0,23.0,36.0,513.0,08-26 16:25:55,0
27.0,21.0,11.0,8.0,2.28,0.93,0.55,0.39,47.53,0.0,119.0,23.0,36.0,521.0,08-26 16:25:56,0
27.0,20.0,11.0,8.0,2.15,0.95,0.56,0.3,47.6,0.0,119.0,23.0,35.0,529.0,08-26 16:25:57,0
27.0,20.0,12.0,7.0,2.01,1.08,0.47,0.4,47.58,0.0,119.0,22.0,35.0,513.0,08-26 16:25:58,0
27.0,20.0,12.0,9.0,2.26,0.87,0.54,0.37,47.57,0.0,119.0,23.0,35.0,522.0,08-26 16:25:59,0
27.0,21.0,12.0,8.0,2.06,0.96,0.55,0.3,47.53,0.0,119.0,23.0,35.0,520.0,08-26 16:26:00,0
27.0,20.0,13.0,10.0,2.07,1.1,0.48,0.39,47.45,0.0,119.0,22.0,35.0,514.0,08-26 16:26:01,0
27.0,20.0,12.0,8.0,2.31,0.86,0.53,0.33,47.36,0.0,119.0,23.0,36.0,522.0,08-26 16:26:02,0
27.0,21.0,12.0,7.0,1.9,0.93,0.56,0.3,47.39,0.0,119.0,23.0,35.0,526.0,08-26 16:26:03,0
27.0,20.0,12.0,9.0,2.32,0.97,0.53,0.4,47.41,0.0,119.0,22.0,36.0,530.0,08-26 16:26:04,0
27.0,21.0,12.0,8.0,2.2,0.9,0.56,0.31,47.33,0.0,119.0,23.0,36.0,528.0,08-26 16:26:05,0
27.0,20.0,12.0,9.0,2.02,1.11,0.46,0.33,47.25,0.0,119.0,22.0,35.0,522.0,08-26 16:26:06,0
27.0,20.0,11.0,7.0,2.26,0.89,0.55,0.39,47.2,0.0,119.0,23.0,35.0,514.0,08-26 16:26:07,0
27.0,20.0,12.0,8.0,2.12,0.94,0.56,0.3,47.14,0.0,119.0,23.0,36.0,513.0,08-26 16:26:08,0
27.0,20.0,12.0,7.0,1.99,1.14,0.47,0.37,47.03,0.0,119.0,23.0,36.0,517.0,08-26 16:26:09,0
