NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.3,20.0,11.0,8.0,2.33,0.9,0.4,0.44,47.19,116.0,93.0,23.0,35.0,517.0,09-01 13:22:54,0
27.3,20.0,12.0,8.0,2.03,0.9,0.34,0.41,47.19,116.0,93.0,23.0,35.0,524.0,09-01 13:22:55,0
27.3,20.0,10.0,8.0,2.38,1.05,0.31,0.47,47.24,116.0,93.0,22.0,35.0,523.0,09-01 13:22:56,0
27.3,20.0,10.0,8.0,2.53,0.8,0.51,0.43,47.24,116.0,93.0,23.0,36.0,517.0,09-01 13:22:57,0
27.3,19.0,10.0,7.0,2.05,1.09,0.44,0.4,47.2,116.0,91.0,22.0,35.0,519.0,09-01 13:22:58,0
27.23,20.0,11.0,8.0,2.39,1.06,0.31,0.56,47.22,116.0,93.0,22.0,35.0,522.0,09-01 13:22:59,0
27.2,20.0,11.0,8.0,2.65,0.72,0.53,0.36,47.28,116.0,93.0,22.0,36.0,518.0,09-01 13:23:00,0
27.3,20.0,12.0,8.0,2.02,1.09,0.34,0.43,47.27,116.0,93.0,23.0,36.0,529.0,09-01 13:23:01,0
27.3,20.0,11.0,8.0,2.69,0.92,0.37,0.57,47.19,116.0,93.0,22.0,36.0,527.0,09-01 13:23:02,0
27.3,20.0,11.0,8.0,2.51,0.72,0.6,0.35,47.18,116.0,91.0,22.0,35.0,517.0,09-01 13:23:03,0
27.3,22.0,11.0,8.0,2.09,1.16,0.32,0.43,47.19,116.0,93.0,22.0,35.0,517.0,09-01 13:23:04,0
27.3,20.0,11.0,8.0,2.67,0.76,0.42,0.56,47.3,116.0,91.0,22.0,35.0,524.0,09-01 13:23:05,0
27.3,20.0,10.0,7.0,2.34,0.81,0.56,0.32,47.29,116.0,93.0,22.0,35.0,514.0,09-01 13:23:06,0
27.3,20.0,11.0,8.0,2.11,1.24,0.31,0.48,47.3,116.0,93.0,22.0,36.0,523.0,09-01 13:23:07,0
27.3,20.0,11.0,8.0,2.72,0.76,0.39,0.53,47.32,116.0,93.0,23.0,36.0,526.0,09-01 13:23:08,0
27.3,19.0,11.0,8.0,2.11,0.91,0.54,0.35,47.32,116.0,93.0,23.0,36.0,515.0,09-01 13:23:09,0
27.3,20.0,12.0,8.0,2.37,1.15,0.28,0.56,47.41,116.0,93.0,23.0,36.0,524.0,09-01 13:23:10,0
27.22,20.0,11.0,9.0,2.84,0.64,0.55,0.45,47.44,116.0,93.0,23.0,35.0,522.0,09-01 13:23:11,0
27.2,21.0,11.0,8.0,2.06,0.99,0.5,0.35,47.42,116.0,93.0,23.0,36.0,512.0,09-01 13:23:12,0
