NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.2,20.0,12.0,8.0,2.1,0.7,0.45,0.3,46.46,127.0,47.0,23.0,35.0,514.0,08-26 14:04:28,0
27.2,20.0,12.0,8.0,2.24,0.84,0.52,0.3,46.42,129.0,38.0,23.0,35.0,527.0,08-26 14:04:29,0
27.2,20.0,12.0,9.0,1.97,1.02,0.53,0.3,46.39,127.0,47.0,22.0,36.0,528.0,08-26 14:04:30,0
27.2,19.0,12.0,9.0,2.02,1.17,0.45,0.38,46.36,127.0,47.0,22.0,35.0,516.0,08-26 14:04:31,0
27.2,21.0,12.0,9.0,2.31,0.91,0.51,0.37,46.38,127.0,47.0,22.0,36.0,513.0,08-26 14:04:32,0
27.2,20.0,12.0,7.0,2.01,0.95,0.54,0.3,46.32,127.0,47.0,23.0,36.0,524.0,08-26 14:04:33,0
27.2,20.0,12.0,8.0,2.09,1.16,0.47,0.4,46.33,126.0,40.0,22.0,35.0,512.0,08-26 14:04:34,0
27.2,20.0,12.0,10.0,2.31,0.86,0.55,0.36,46.41,127.0,47.0,22.0,36.0,522.0,08-26 14:04:35,0
27.14,20.0,11.0,8.0,1.97,1.03,0.52,0.33,46.39,127.0,47.0,22.0,36.0,516.0,08-26 14:04:36,0
27.1,19.0,12.0,8.0,2.11,1.08,0.45,0.4,46.36,127.0,47.0,22.0,35.0,523.0,08-26 14:04:37,0
27.18,20.0,12.0,8.0,2.29,0.86,0.55,0.33,46.19,130.0,40.0,23.0,35.0,518.0,08-26 14:04:38,0
27.2,19.0,13.0,8.0,1.96,1.04,0.5,0.31,46.14,129.0,41.0,23.0,35.0,527.0,08-26 14:04:39,0
27.1,19.0,12.0,8.0,2.24,0.94,0.49,0.38,46.18,0.0,119.0,23.0,35.0,521.0,08-26 14:04:40,0
27.13,20.0,13.0,7.0,2.19,0.93,0.55,0.3,46.07,132.0,44.0,22.0,36.0,518.0,08-26 14:04:41,0
27.2,20.0,11.0,8.0,1.98,1.04,0.46,0.36,46.11,130.0,50.0,23.0,36.0,518.0,08-26 14:04:42,0
27.2,21.0,12.0,8.0,2.36,0.93,0.53,0.38,46.06,132.0,44.0,23.0,35.0,530.0,08-26 14:04:43,0
27.2,20.0,12.0,9.0,2.06,0.94,0.53,0.3,46.06,132.0,40.0,23.0,35.0,528.0,08-26 14:04:44,0
27.2,20.0,12.0,8.0,2.03,1.11,0.46,0.39,45.99,128.0,44.0,22.0,36.0,511.0,08-26 14:04:45,0
27.16,19.0,12.0,9.0,2.31,0.85,0.51,0.34,45.91,132.0,40.0,23.0,35.0,517.0,08-26 14:04:46,0
27.1,20.0,12.0,7.0,2.01,1.01,0.53,0.31,45.86,0.0,119.0,22.0,36.0,511.0,08-26 14:04:47,0
27.17,20.0,12.0,7.0,2.1,1.07,0.45,0.4,45.9,0.0,119.0,22.0,36.0,517.0,08-26 14:04:48,0
27.2,20.0,12.0,9.0,2.28,0.89,0.54,0.32,45.88,126.0,44.0,23.0,35.0,514.0,08-26 14:04:49,0
27.1,20.0,12.0,7.0,1.96,1.02,0.5,0.34,45.86,132.0,32.0,23.0,36.0,518.0,08-26 14:04:50,0
27.1,20.0,12.0,8.0,2.13,1.04,0.51,0.37,45.83,0.0,119.0,23.0,35.0,517.0,08-26 14:04:51,0
27.1,20.0,12.0,7.0,2.23,0.89,0.55,0.31,45.76,132.0,34.0,23.0,35.0,526.0,08-26 14:04:52,0
27.1,20.0,12.0,9.0,1.91,1.04,0.47,0.33,45.74,127.0,47.0,23.0,35.0,523.0,08-26 14:04:53,0
