NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,20.0,12.0,8.0,2.17,1.21,0.46,0.49,39.67,98.0,15.0,22.0,35.0,514.0,08-27 08:59:04,0
27.07,20.0,12.0,10.0,2.3,1.2,0.47,0.48,39.63,98.0,15.0,23.0,35.0,515.0,08-27 08:59:05,0
27.1,20.0,12.0,7.0,2.18,1.43,0.4,0.55,39.73,98.0,15.0,23.0,36.0,529.0,08-27 08:59:06,0
27.1,19.0,13.0,8.0,2.82,0.94,0.48,0.53,39.71,88.0,67.0,23.0,35.0,515.0,08-27 08:59:07,0
27.1,20.0,12.0,10.0,2.3,1.04,0.52,0.48,39.75,88.0,67.0,23.0,35.0,528.0,08-27 08:59:08,0
27.1,20.0,12.0,8.0,2.31,1.42,0.4,0.55,39.78,98.0,15.0,22.0,36.0,523.0,08-27 08:59:09,0
27.1,20.0,12.0,10.0,2.87,0.84,0.48,0.52,39.8,98.0,15.0,22.0,35.0,525.0,08-27 08:59:10,0
27.1,20.0,12.0,9.0,2.16,1.12,0.48,0.48,39.74,98.0,15.0,23.0,36.0,521.0,08-27 08:59:11,0
27.19,20.0,12.0,8.0,2.41,1.34,0.4,0.55,39.73,98.0,15.0,23.0,35.0,515.0,08-27 08:59:12,0
27.2,20.0,11.0,9.0,2.84,0.86,0.5,0.49,39.72,98.0,15.0,22.0,35.0,526.0,08-27 08:59:13,0
27.2,20.0,12.0,8.0,2.08,1.23,0.46,0.51,39.72,98.0,15.0,23.0,36.0,511.0,08-27 08:59:14,0
27.16,20.0,12.0,8.0,2.61,1.17,0.41,0.55,39.72,98.0,15.0,23.0,36.0,523.0,08-27 08:59:15,0
27.1,20.0,12.0,8.0,2.74,0.82,0.52,0.49,39.72,98.0,15.0,22.0,35.0,512.0,08-27 08:59:16,0
27.1,21.0,12.0,9.0,2.08,1.29,0.43,0.51,39.71,98.0,15.0,23.0,36.0,522.0,08-27 08:59:17,0
27.1,20.0,12.0,7.0,2.69,1.08,0.41,0.55,39.71,98.0,15.0,22.0,36.0,515.0,08-27 08:59:18,0
27.2,20.0,12.0,7.0,2.56,0.91,0.53,0.45,39.75,98.0,15.0,22.0,35.0,513.0,08-27 08:59:19,0
27.2,21.0,12.0,8.0,2.21,1.32,0.38,0.53,39.79,98.0,15.0,23.0,36.0,530.0,08-27 08:59:20,0
27.2,19.0,12.0,8.0,2.86,0.99,0.46,0.55,39.77,98.0,15.0,22.0,35.0,517.0,08-27 08:59:21,0
27.2,20.0,12.0,8.0,2.36,1.05,0.54,0.45,39.7,98.0,15.0,23.0,35.0,513.0,08-27 08:59:22,0
27.2,19.0,12.0,8.0,2.22,1.38,0.4,0.55,39.73,98.0,15.0,22.0,36.0,523.0,08-27 08:59:23,0
27.29,20.0,13.0,8.0,2.87,0.87,0.46,0.52,39.77,98.0,15.0,23.0,36.0,530.0,08-27 08:59:24,0
27.28,20.0,12.0,7.0,2.2,1.05,0.48,0.46,39.75,98.0,15.0,22.0,35.0,525.0,08-27 08:59:25,0
27.2,19.0,11.0,8.0,2.19,1.4,0.35,0.55,39.7,98.0,15.0,23.0,36.0,518.0,08-27 08:59:26,0
27.2,20.0,11.0,8.0,2.13,1.32,0.4,0.52,41.09,98.0,15.0,22.0,36.0,512.0,08-27 08:59:27,0
27.2,20.0,12.0,8.0,2.08,1.25,0.45,0.5,42.47,98.0,15.0,23.0,35.0,526.0,08-27 08:59:28,0
27.2,20.0,12.0,7.0,2.52,1.23,0.4,0.55,42.89,81.0,15.0,22.0,36.0,519.0,08-27 08:59:29,0
27.2,20.0,12.0,7.0,2.76,0.88,0.54,0.49,43.12,81.0,15.0,23.0,35.0,517.0,08-27 08:59:30,0
27.2,20.0,12.0,7.0,2.09,1.28,0.44,0.52,43.12,81.0,15.0,23.0,36.0,517.0,08-27 08:59:31,0
27.2,20.0,12.0,9.0,2.66,1.11,0.42,0.55,43.26,81.0,15.0,23.0,35.0,529.0,08-27 08:59:32,0
27.2,20.0,12.0,8.0,2.59,0.88,0.5,0.46,43.29,81.0,15.0,22.0,35.0,527.0,08-27 08:59:33,0
27.2,21.0,12.0,8.0,2.14,1.39,0.41,0.52,46.5,22.0,7.0,22.0,35.0,528.0,08-27 08:59:34,0
27.2,20.0,12.0,8.0,2.68,1.02,0.42,0.54,47.63,21.0,7.0,22.0,36.0,524.0,08-27 08:59:35,0
27.1,19.0,13.0,8.0,2.47,0.99,0.5,0.45,48.38,21.0,7.0,23.0,35.0,521.0,08-27 08:59:36,0
27.1,20.0,14.0,10.0,1.9,1.2,0.5,0.45,48.82,21.0,7.0,22.0,35.0,523.0,08-27 08:59:37,0
27.3,20.0,13.0,8.0,2.89,0.86,0.5,0.51,49.14,21.0,7.0,22.0,35.0,516.0,08-27 08:59:38,0
27.3,20.0,12.0,9.0,2.17,1.2,0.47,0.48,49.46,21.0,7.0,22.0,35.0,526.0,08-27 08:59:39,0
27.3,20.0,12.0,9.0,2.51,1.17,0.38,0.55,49.61,21.0,7.0,22.0,36.0,523.0,08-27 08:59:40,0
27.3,20.0,12.0,7.0,2.69,0.89,0.52,0.47,49.79,22.0,7.0,23.0,35.0,512.0,08-27 08:59:41,0
27.3,20.0,13.0,7.0,2.1,1.27,0.41,0.52,50.03,21.0,7.0,22.0,36.0,520.0,08-27 08:59:42,0
27.3,21.0,12.0,9.0,2.72,1.01,0.44,0.55,50.16,21.0,7.0,23.0,36.0,518.0,08-27 08:59:43,0
27.3,19.0,11.0,8.0,2.56,0.95,0.52,0.45,50.31,22.0,7.0,22.0,36.0,523.0,08-27 08:59:44,0
27.3,20.0,12.0,8.0,2.16,1.37,0.38,0.53,50.49,22.0,7.0,23.0,36.0,526.0,08-27 08:59:45,0
27.3,20.0,11.0,9.0,2.86,0.97,0.46,0.54,50.69,22.0,7.0,22.0,35.0,525.0,08-27 08:59:46,0
27.32,20.0,13.0,8.0,2.31,1.02,0.5,0.45,50.81,22.0,7.0,23.0,35.0,529.0,08-27 08:59:47,0
27.4,20.0,11.0,8.0,2.22,1.35,0.4,0.55,50.89,21.0,7.0,23.0,35.0,527.0,08-27 08:59:48,0
27.4,20.0,12.0,9.0,2.87,0.87,0.46,0.52,51.05,22.0,7.0,22.0,35.0,529.0,08-27 08:59:49,0
27.4,20.0,13.0,7.0,2.18,1.06,0.49,0.46,51.13,21.0,7.0,23.0,36.0,528.0,08-27 08:59:50,0
27.4,20.0,12.0,8.0,2.4,1.29,0.36,0.55,51.28,21.0,7.0,23.0,36.0,517.0,08-27 08:59:51,0
27.4,19.0,12.0,9.0,2.84,0.79,0.48,0.5,51.48,21.0,7.0,22.0,36.0,512.0,08-27 08:59:52,0
27.4,20.0,12.0,8.0,2.11,1.2,0.46,0.48,51.63,21.0,7.0,23.0,36.0,521.0,08-27 08:59:53,0
27.4,20.0,12.0,9.0,2.51,1.22,0.37,0.55,51.69,22.0,7.0,22.0,35.0,513.0,08-27 08:59:54,0
27.4,20.0,12.0,9.0,2.77,0.82,0.5,0.49,51.78,22.0,7.0,22.0,36.0,528.0,08-27 08:59:55,0
27.47,21.0,11.0,8.0,2.07,1.31,0.42,0.49,52.01,22.0,7.0,22.0,35.0,514.0,08-27 08:59:56,0
27.5,20.0,12.0,8.0,2.65,1.08,0.41,0.55,52.12,21.0,7.0,23.0,35.0,526.0,08-27 08:59:57,0
27.5,20.0,12.0,8.0,2.63,0.92,0.52,0.46,52.14,21.0,7.0,22.0,35.0,526.0,08-27 08:59:58,0
27.52,20.0,12.0,9.0,2.17,1.33,0.38,0.53,52.28,21.0,7.0,23.0,36.0,522.0,08-27 08:59:59,0
27.6,20.0,11.0,7.0,2.78,0.96,0.44,0.57,52.48,21.0,7.0,23.0,35.0,529.0,08-27 09:00:00,0
27.6,20.0,11.0,9.0,2.39,0.99,0.51,0.45,52.47,21.0,7.0,23.0,36.0,529.0,08-27 09:00:01,0
27.6,20.0,11.0,8.0,2.17,1.38,0.41,0.53,52.59,22.0,7.0,22.0,36.0,530.0,08-27 09:00:02,0
27.51,20.0,13.0,9.0,2.9,0.9,0.47,0.54,52.84,22.0,7.0,22.0,36.0,513.0,08-27 09:00:03,0
27.52,20.0,14.0,8.0,2.22,1.1,0.52,0.47,52.95,22.0,7.0,23.0,36.0,512.0,08-27 09:00:04,0
27.6,20.0,12.0,9.0,2.34,1.36,0.4,0.55,53.0,22.0,7.0,23.0,35.0,522.0,08-27 09:00:05,0
27.6,19.0,12.0,8.0,2.92,0.88,0.51,0.52,53.1,22.0,7.0,22.0,36.0,519.0,08-27 09:00:06,0
27.6,20.0,12.0,8.0,2.17,1.19,0.5,0.47,53.2,22.0,7.0,22.0,35.0,513.0,08-27 09:00:07,0
27.5,22.0,12.0,8.0,2.8,0.85,0.46,0.55,53.27,22.0,7.0,22.0,35.0,518.0,08-27 09:00:08,0
27.5,20.0,12.0,8.0,2.59,0.95,0.53,0.47,53.3,22.0,7.0,22.0,35.0,528.0,08-27 09:00:09,0
27.5,20.0,12.0,8.0,2.09,1.4,0.4,0.52,53.43,22.0,7.0,23.0,36.0,522.0,08-27 09:00:10,0
27.53,20.0,12.0,6.0,2.8,1.02,0.47,0.55,53.46,22.0,7.0,23.0,35.0,526.0,08-27 09:00:11,0
27.6,20.0,12.0,8.0,2.4,1.04,0.57,0.45,53.65,22.0,7.0,23.0,35.0,517.0,08-27 09:00:12,0
27.6,19.0,12.0,7.0,2.23,1.39,0.41,0.54,53.82,22.0,7.0,23.0,36.0,527.0,08-27 09:00:13,0
27.6,21.0,13.0,8.0,2.94,0.94,0.51,0.52,53.93,22.0,7.0,23.0,35.0,514.0,08-27 09:00:14,0
27.6,20.0,12.0,8.0,2.26,1.09,0.53,0.45,54.04,22.0,7.0,23.0,35.0,521.0,08-27 09:00:15,0
27.62,20.0,13.0,8.0,2.38,1.37,0.45,0.55,54.06,22.0,7.0,23.0,36.0,522.0,08-27 09:00:16,0
