NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,20.0,14.0,9.0,1.85,1.3,0.6,0.55,44.29,80.0,72.0,22.0,35.0,523.0,09-20 20:03:12,0
27.03,20.0,12.0,8.0,2.1,1.2,0.51,0.59,44.27,80.0,72.0,23.0,35.0,521.0,09-20 20:03:13,0
27.1,20.0,12.0,9.0,2.16,1.4,0.43,0.64,44.27,80.0,72.0,23.0,35.0,517.0,09-20 20:03:14,0
27.1,20.0,12.0,8.0,2.68,0.98,0.54,0.71,44.32,80.0,72.0,22.0,35.0,525.0,09-20 20:03:15,0
27.1,20.0,12.0,8.0,2.32,1.02,0.71,0.49,44.23,80.0,72.0,23.0,36.0,517.0,09-20 20:03:16,0
27.1,20.0,12.0,8.0,2.18,1.36,0.41,0.68,44.07,80.0,72.0,23.0,36.0,527.0,09-20 20:03:17,0
27.1,20.0,13.0,9.0,2.8,0.87,0.59,0.67,44.2,80.0,72.0,22.0,35.0,515.0,09-20 20:03:18,0
27.1,19.0,13.0,7.0,2.2,1.06,0.71,0.48,44.19,80.0,72.0,23.0,36.0,512.0,09-20 20:03:19,0
27.1,20.0,13.0,9.0,2.55,1.1,0.43,0.75,44.16,80.0,72.0,22.0,36.0,516.0,09-20 20:03:20,0
27.1,20.0,12.0,8.0,2.68,0.87,0.67,0.54,44.13,80.0,72.0,23.0,36.0,517.0,09-20 20:03:21,0
27.1,21.0,12.0,9.0,2.03,1.27,0.49,0.59,44.05,80.0,72.0,23.0,36.0,515.0,09-20 20:03:22,0
27.09,20.0,13.0,8.0,2.54,1.1,0.48,0.73,44.08,80.0,72.0,22.0,35.0,526.0,09-20 20:03:23,0
27.0,20.0,12.0,9.0,2.58,0.91,0.7,0.51,44.12,80.0,72.0,23.0,36.0,522.0,09-20 20:03:24,0
27.04,20.0,12.0,8.0,2.0,1.38,0.47,0.62,44.07,80.0,72.0,23.0,35.0,518.0,09-20 20:03:25,0
27.1,20.0,12.0,8.0,2.74,1.03,0.51,0.72,44.04,80.0,72.0,22.0,36.0,512.0,09-20 20:03:26,0
27.1,20.0,11.0,9.0,2.39,0.98,0.74,0.55,43.94,80.0,72.0,23.0,35.0,513.0,09-20 20:03:27,0
27.1,20.0,12.0,8.0,2.11,1.44,0.39,0.65,43.88,80.0,72.0,23.0,35.0,517.0,09-20 20:03:28,0
27.1,20.0,13.0,7.0,2.79,0.98,0.56,0.69,43.82,80.0,72.0,23.0,35.0,523.0,09-20 20:03:29,0
27.1,20.0,12.0,8.0,2.18,1.06,0.68,0.52,43.81,80.0,72.0,22.0,36.0,511.0,09-20 20:03:30,0
27.1,20.0,12.0,10.0,2.3,1.41,0.39,0.68,43.83,80.0,72.0,22.0,35.0,513.0,09-20 20:03:31,0
27.1,21.0,12.0,8.0,2.8,0.81,0.64,0.63,43.82,80.0,72.0,22.0,35.0,513.0,09-20 20:03:32,0
27.1,20.0,12.0,8.0,2.05,1.21,0.61,0.55,43.82,80.0,72.0,23.0,36.0,525.0,09-20 20:03:33,0
27.1,20.0,12.0,8.0,2.37,1.33,0.4,0.72,43.85,80.0,72.0,23.0,36.0,516.0,09-20 20:03:34,0
27.1,20.0,13.0,9.0,2.78,0.82,0.68,0.58,43.84,80.0,72.0,22.0,35.0,529.0,09-20 20:03:35,0
27.1,20.0,11.0,8.0,2.04,1.27,0.54,0.59,43.78,80.0,72.0,23.0,35.0,522.0,09-20 20:03:36,0
27.15,20.0,12.0,7.0,2.51,1.25,0.46,0.74,43.7,80.0,72.0,22.0,35.0,524.0,09-20 20:03:37,0
