NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.1,21.0,12.0,8.0,2.0,0.8,0.7,0.45,44.1,159.0,6.0,22.0,36.0,527.0,09-20 02:54:45,0
27.1,20.0,12.0,7.0,1.98,0.91,0.6,0.46,44.06,159.0,6.0,22.0,36.0,512.0,09-20 02:54:46,0
27.1,21.0,12.0,6.0,2.38,0.78,0.62,0.48,44.18,159.0,4.0,22.0,35.0,521.0,09-20 02:54:47,0
27.1,20.0,12.0,8.0,1.96,0.94,0.6,0.46,44.05,159.0,4.0,22.0,35.0,516.0,09-20 02:54:48,0
27.01,19.0,12.0,8.0,2.16,0.91,0.53,0.57,44.19,159.0,4.0,22.0,35.0,524.0,09-20 02:54:49,0
27.02,20.0,12.0,9.0,2.26,0.81,0.62,0.47,44.12,159.0,4.0,22.0,36.0,519.0,09-20 02:54:50,0
27.1,20.0,12.0,8.0,1.98,0.96,0.54,0.5,44.11,159.0,6.0,22.0,36.0,518.0,09-20 02:54:51,0
27.1,20.0,13.0,7.0,2.22,0.9,0.54,0.55,44.12,159.0,4.0,23.0,36.0,520.0,09-20 02:54:52,0
27.1,19.0,12.0,8.0,2.23,0.82,0.63,0.45,44.06,159.0,5.0,22.0,36.0,513.0,09-20 02:54:53,0
27.02,20.0,12.0,8.0,1.97,1.04,0.52,0.52,44.01,159.0,5.0,22.0,35.0,527.0,09-20 02:54:54,0
27.0,20.0,12.0,8.0,2.28,0.85,0.52,0.54,44.08,159.0,5.0,22.0,35.0,515.0,09-20 02:54:55,0
27.1,20.0,12.0,8.0,2.13,0.83,0.67,0.45,44.03,159.0,5.0,23.0,36.0,521.0,09-20 02:54:56,0
27.1,20.0,13.0,8.0,2.05,0.94,0.5,0.55,43.96,159.0,5.0,22.0,35.0,521.0,09-20 02:54:57,0
