NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.0,19.0,13.0,9.0,2.43,1.0,0.94,0.44,42.38,120.0,0.0,23.0,36.0,525.0,09-20 08:56:35,0
27.1,20.0,12.0,8.0,2.22,1.18,0.7,0.62,42.35,113.0,2.0,22.0,36.0,519.0,09-20 08:56:36,0
27.1,21.0,12.0,9.0,2.72,0.88,0.85,0.54,42.4,113.0,2.0,22.0,36.0,530.0,09-20 08:56:37,0
27.1,21.0,12.0,8.0,2.0,1.36,0.66,0.58,42.39,113.0,2.0,22.0,35.0,528.0,09-20 08:56:38,0
27.21,21.0,11.0,9.0,2.52,1.2,0.58,0.74,42.4,113.0,2.0,22.0,35.0,521.0,09-20 08:56:39,0
27.3,18.0,12.0,8.0,3.05,0.8,0.79,0.64,42.41,113.0,2.0,23.0,36.0,512.0,09-20 08:56:40,0
27.4,19.0,12.0,6.0,2.3,1.5,0.44,0.74,45.51,145.0,68.0,22.0,36.0,518.0,09-20 08:56:41,0
27.4,20.0,12.0,8.0,2.78,1.08,0.66,0.72,45.54,124.0,1.0,22.0,36.0,528.0,09-20 08:56:42,0
27.4,20.0,12.0,8.0,2.42,0.94,0.87,0.55,43.71,119.0,1.0,22.0,35.0,516.0,09-20 08:56:43,0
27.4,20.0,12.0,9.0,2.14,1.42,0.57,0.65,43.92,119.0,1.0,22.0,35.0,514.0,09-20 08:56:44,0
27.4,20.0,12.0,7.0,2.82,1.0,0.7,0.7,43.97,114.0,0.0,22.0,36.0,520.0,09-20 08:56:45,0
27.4,20.0,12.0,9.0,2.32,1.04,0.84,0.51,44.12,112.0,0.0,22.0,36.0,511.0,09-20 08:56:46,0
27.41,21.0,12.0,10.0,2.26,1.47,0.56,0.67,44.09,119.0,1.0,23.0,35.0,523.0,09-20 08:56:47,0
27.5,20.0,13.0,8.0,2.81,0.85,0.73,0.66,44.02,118.0,0.0,23.0,35.0,512.0,09-20 08:56:48,0
27.53,19.0,11.0,8.0,2.24,1.14,0.84,0.5,43.96,119.0,1.0,23.0,35.0,523.0,09-20 08:56:49,0
27.6,20.0,12.0,8.0,2.31,1.42,0.55,0.7,43.96,114.0,0.0,22.0,36.0,528.0,09-20 08:56:50,0
27.51,21.0,12.0,8.0,2.71,0.9,0.83,0.53,43.77,113.0,1.0,23.0,35.0,512.0,09-20 08:56:51,0
27.5,20.0,12.0,8.0,1.99,1.25,0.73,0.55,43.74,114.0,0.0,23.0,36.0,514.0,09-20 08:56:52,0
27.6,20.0,12.0,7.0,2.47,1.27,0.57,0.72,43.68,109.0,1.0,22.0,36.0,526.0,09-20 08:56:53,0
27.6,20.0,12.0,8.0,2.71,0.91,0.85,0.57,43.58,119.0,1.0,22.0,36.0,517.0,09-20 08:56:54,0
27.6,20.0,12.0,9.0,2.04,1.34,0.64,0.57,43.49,119.0,1.0,23.0,36.0,515.0,09-20 08:56:55,0
27.53,20.0,13.0,8.0,2.6,1.11,0.65,0.73,43.37,114.0,0.0,22.0,35.0,514.0,09-20 08:56:56,0
27.5,20.0,12.0,8.0,2.61,0.91,0.84,0.52,43.32,114.0,0.0,23.0,36.0,528.0,09-20 08:56:57,0
27.41,20.0,13.0,6.0,2.08,1.4,0.63,0.61,43.29,114.0,0.0,23.0,35.0,526.0,09-20 08:56:58,0
27.4,20.0,12.0,8.0,2.69,1.01,0.66,0.71,43.23,119.0,1.0,22.0,36.0,519.0,09-20 08:56:59,0
27.4,20.0,12.0,9.0,2.39,1.06,0.87,0.52,43.17,119.0,1.0,23.0,35.0,512.0,09-20 08:57:00,0
27.5,21.0,12.0,8.0,2.15,1.4,0.5,0.65,43.08,119.0,1.0,23.0,35.0,512.0,09-20 08:57:01,0
27.6,21.0,12.0,8.0,2.8,0.98,0.7,0.68,43.02,119.0,1.0,23.0,36.0,527.0,09-20 08:57:02,0
27.52,19.0,12.0,8.0,2.27,1.07,0.85,0.54,42.98,119.0,1.0,23.0,35.0,515.0,09-20 08:57:03,0
27.51,20.0,12.0,8.0,2.27,1.42,0.53,0.66,42.92,119.0,1.0,23.0,35.0,523.0,09-20 08:57:04,0
27.6,21.0,12.0,7.0,2.85,0.84,0.78,0.64,42.81,119.0,1.0,23.0,36.0,515.0,09-20 08:57:05,0
27.6,20.0,12.0,9.0,2.17,1.17,0.83,0.52,42.71,114.0,0.0,23.0,35.0,526.0,09-20 08:57:06,0
27.6,20.0,13.0,8.0,2.32,1.36,0.55,0.71,42.7,114.0,0.0,23.0,35.0,530.0,09-20 08:57:07,0
27.67,20.0,12.0,9.0,2.74,0.89,0.82,0.58,42.53,119.0,1.0,23.0,35.0,521.0,09-20 08:57:08,0
27.7,20.0,13.0,9.0,2.03,1.28,0.72,0.56,42.51,114.0,0.0,23.0,35.0,514.0,09-20 08:57:09,0
27.7,20.0,12.0,8.0,2.51,1.3,0.6,0.74,42.61,118.0,0.0,22.0,35.0,524.0,09-20 08:57:10,0
27.63,20.0,11.0,8.0,2.7,0.87,0.86,0.56,42.7,119.0,1.0,23.0,36.0,514.0,09-20 08:57:11,0
27.5,20.0,12.0,9.0,2.0,1.37,0.66,0.58,42.6,119.0,1.0,22.0,36.0,517.0,09-20 08:57:12,0
27.63,19.0,12.0,8.0,2.59,1.13,0.61,0.73,42.59,119.0,1.0,23.0,35.0,530.0,09-20 08:57:13,0
27.7,21.0,12.0,9.0,2.61,0.89,0.89,0.52,42.6,119.0,1.0,22.0,35.0,524.0,09-20 08:57:14,0
27.61,21.0,11.0,8.0,2.03,1.36,0.62,0.58,42.6,119.0,1.0,23.0,35.0,530.0,09-20 08:57:15,0
27.62,20.0,12.0,9.0,2.59,1.04,0.62,0.7,42.57,119.0,1.0,22.0,36.0,530.0,09-20 08:57:16,0
27.7,20.0,12.0,8.0,2.39,1.02,0.86,0.51,42.51,119.0,1.0,22.0,35.0,518.0,09-20 08:57:17,0
27.7,20.0,12.0,9.0,2.11,1.49,0.58,0.65,42.5,119.0,1.0,22.0,35.0,528.0,09-20 08:57:18,0
27.7,20.0,13.0,9.0,2.8,1.01,0.7,0.7,42.48,128.0,0.0,23.0,35.0,514.0,09-20 08:57:19,0
27.78,19.0,12.0,8.0,2.26,1.04,0.82,0.52,42.51,124.0,0.0,22.0,35.0,515.0,09-20 08:57:20,0
